List of White People & Slaves on Estate Bonne Eperance N° 18 Queens Quarter The property of Benners & Kenney Dec. 10th 1799;;;;;;;;;;;;;;;;;;;
Whites;Negroe Men;;Negroe Women;;1/2 Grown Boys;1/2 Grown Girls;Children under 10 years;;Tradesmen;Born;Died;New Negroes bought 7th Decr 1799;;;;;;;
Doctor Andw. Kenney;Amos.;Glasgow;Anna;Madlain;Andrewas;Agnes;Christian;Nancy;Bass;Samuel;Pero;Abercromby;Antonetto;;;;;;
George Allen;Absolon;Harry;Arippa;Magdlain;Cork;Catherina;Good Luck;Pattie;Jacob;Abraham;Betty;Nielson;Peggy;;;;;;
James Mudie;August;Hamblet;Belinda;Marria;John;Dianna;James;Rosanah;Castella;Pheba;Memba;Smith;Ketty;;;;;;
;Andrew;Joe;Chloe;Margeret;James;Roset;Johannes;Sophina;Charles;3;3;3.;3.;;;;;;
;Adam;Isaac;Clerissa;Marrot;George;Rachael;Joseph;Ester;Hushing;;;;;;;;;;
;Bob;Ireland;Catherina;Moll;Portland.;5;Manuel;Betty;July;;;;;;;;;;
;Billy;Leander;Christina;Nancy;Richard;;6;Franky;6;;;;;;;;;;
;Caspan;London;Charlot;Queen;1;;;Martha;;;;;;;;;;;
;Cæzar;Lowis;Dianna;Regina;;;;8;;;;;;;;;;;
;Cosmos;Mark;Dorothea;Rosett;;;;;;;;;;;;;;;
;Contrad;Pero;Flora;Susannah;;;;;;;;;;;;;;;
;Corrydon;Prince;Fanny;Sally;;;;;;;;;;;;;;;
;Carl;Prince;Gertruid;Sibella;;;;;;;;;;;;;;;
;Darby;Quashie;Hannah;Solomy;;;;;;;;;;;;;;;
;Dublin;Rego;Johanna;Sebina;;;;;;;;;;;;;;;
;Edward;Sege;Julianna;Phinet;;;;;;;;;;;;;;;
;Franswa;Solomon;Jenny;;;;;;;;;;;;;;;;
;Ferro;Toby;Kett;;;;;;;;;;;;Recapitulation;;;;
;Gallaway;Tom;Lewisa;;;;;;;Mænd 46;;;;;Negroe Men 40;;Borsaler 3/3 köbt den 7 Decbr 1799;;
;Gustav;Peter;Leddy;;;;;;;Drenge 7;;;;;D° women 36;;;;
;40;;36;;;;;;;Ditto 6   59;;;;;1/2 Grown Boys 7;;;;
;;;;;;;;;;Qvinder 36;;;;;D° D° Girls 5;;;;
;;;;;;;;;;Piger 13  49;;;;;Boys under 10 years 6;;;;
;;;;;;;;;;föd 2/1;;;;;Girls under 10 years 8;;;;
;;;;;;;;;;108;;;;;Tradesmen 6;;;;
;;;;;;;;;;död 1/2;;;;;Born 3 x Died 3;;;;
;;;;;;;;;;The above is a just list of White People;;;;;111;;;;
;;;;;;;;;;& Negroes on the Estate Bonne Esperance;;;;;New negroes 6;;;;
;;;;;;;;;;No.18. Queen's Quarter this 10th Dec. 1799.;;;;;117 Totall Number;;;;
;;;;;;;;;;George Alan;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
