LLIST;;;;;;;;;;;;;;
ROES in the Estate Limé Trecs, N.30 in Queen Quarter;;;;;;;;;;;;;;
In this YEAR.;;;;;;;;;;;;;;
HOUSE NEGROES.;;;;Total number of;;BORN.;;DIED.;;New Negroes;;Number of No;;
;;;;NEGROES.;;;;;;BOUGHT;;groes free;;
;;;;;;;;;;since 1st of July.;;from Taxes.;;
Men.;Women;Boys.;Girls.;Males;Females.;Boys;Girls.;Males.;Females;Males.;Females;Males.;Females;
Dvon;Gangy;;;;;3.;1;2;4.;;None;;;
;Jannen;;;;1 Philesser;;;1 Peter;;;;;;
;;;;;2 Paul;;;2 Butleer;;;;;;
;;;;;3 King Sale;;;1 Rebecca;;;;;;
;;;;;1 Salmy;;;2 margaret;;;;;;
;;;;;;;;3 Betkey;;;;;;
;;;;;;;;4 Juba;;;;;;
RECAPITULATION.;;;;;;;;;;;;;;
Field Negroes;;;;;;;;;;;;;;
TRADES MEN,;;;;;;;;;;;;;;
HOUSE NEGROES,;;;;;;;;;;;;;;
Free from Tax.;;;;;;;;;;;;;;
BORN,;;;;;;;;;;;;;;
DIED,;;;;;;;;;;;;;;
BOUGHT, —;;;;;;;;;;;;;;
Taxable NEGROES,;;;;;;;;;;;;;;
Mænd... 25;;;;;;;;;;;;;;
Drenge.... 14;;;;;;;;;;;;;;
Ditto... 12 — 51.;;;;;;;;;;;;;;
Qvinder..... 53;;;;;;;;;;;;;;
Piger..... 31 — 84;;;;;;;;;;;;;;
135.;;;;;;;;;;;;;;
Födte 3/1;;;;;;;;;;;;;;
Döde 2/4;;;;;;;;;;;;;;
