A list of Negroes belongign to John B. Barnes Esqr.;;;;;;;;A list of negroes belonging to Robert Robson 
Men;Boys;Women;Girls;Born this year;;;;on Estate Coaklet 10th December 1799
1 Peter;1 Jacob;1 Madlane;1 Madlane x;1 Judy;;;;Males
2 Joshua;2 Paris;Cesallia;2 Hannah;;;;;Females
;3 Christian;3 Frankey;3 Wdick;;;;;Born this year
;4 John;4 Kitty;4 Marguita;;;;;1 Prince
;5 Henry;5 Moll;5 Melinna;;;;;2 Funn
;;6 Queen;6 Elizabeth;;;;;3 Daniel
;;7 Cathla;7 Mary;;;;;1 Moll
;;8 Katy;;;;;;2 Rosett
;;9 Hester;;;;;;3 Beckey
;;10 William;;;;;;4 Camitta
Mænd 2;;;;;;;;5 Molly
Drenge  5       7;;;;;;;;7 Pankey
Qvinder 10;;;;;;;;7 Susannah
Piger 7   17;;;;;;;;8 Madlane
24;;;;;;;;1 Sarah Eliza
Föd 0/1;;;;;;;;Mænd 3
Rt. Robson;;;;;;;;Qvinde  8    11 
;;;;;;;;Föd 0/1
;;;;;;;;Rt. Robson
