A List of white Inhabitants and Negroes on the Estate Annas hope belonging to Richard Forster Esquire Decimber 21st 1799;;;;;;;;;;;;;;;;;;;;;;;
Field Negroes;;;;;;;;;;;;;;;;;;;;;;;
Whites;Capable;;Half Grow;;Children under;;Tradesmen;;House Negroes;;;;Total Number;;Born;;Died;;New Negroes;;N° Negroes free;;
Their Occpt.°;;;;;10 years;;;;;;;;Negros;;;;;;bougt. since 1. July;;from Taxes;;
;Men;Women;Boys;Girls;Boys;Girls;Men.;Boys;Men;Woman;Boys.;Girls;Males;Females.;Boys;Girls;Males;Females;Males;Females;Males;Females;
Ge.° Bager;Johanes;Yanahy;William;Betty;Abram;Mary;None;None;none;Jennet;Poulas;None;35;21;Frank;none;Hendrik.;Mary an;None;Nonc;;;
Manager;Prince;Maria;Isack;Rosit;Christan;1;;;;Mary Ann;1;;;;1;;1;Christina;;;;;
;Polidore;Sarah;2;Sophia;Bastar;;;;;2;;;;;;;;2;;;;;
;Anthony;Judy;;3;Johanes;;;;;;;;;;;;;;;;;;
;Pidroe;Maria;;;Jacob;;;;;;;;;;;;;;;;;;
;James;Present;;;5;;;;;;;;;;;;;;;;;;
;Duke;Hester;;;;;;;;;;;;;;;;;;;;;
;London;Belredore;;;;;;;;;;;;;;;;;;;;;
;Bob;Susanh;;;;;;;;;;;;;;;;;;;;;
;Cyrus;Marey;;;;;;;;;;;;;;;;;;;;;
;Adam;Charlot;;;;;;;;;;;;;;;;;;;;;
;Tobey;Penney;;;;;;;;;;;;;;;;;;;;;
;Juam;Jinney;;;;;;;;;;;;;;;;;;;;;
;Cork;Rebeca;;;;;;;;;;;;;;;;;;;;;
;Galway;Bell;;;;;;;;;;;;;;;;;;;;;
;Dublin;15;;;;;;;;;;;;;;;;;;;;;
;Lucy;;;;;;;;;;;;;;;;;;;;;;
;George;;;;;;;;;;;;;;;;;;;;;;
;Christian;;;;;;;;;;;;;;;;;;;;;;
;Neilson;;;;;;;;;;;;;;;;;;;;;;
;Garvis;;;;;;;;;;;;;;;;;;;;;;
;Hood;;;;;;;;;;;;;;;;;;;;;;
;Dencan;;;;;;;;;;;;;;;;;;;;;;
;Fortune;;;;;;;;;;;;;;;;;;;;;;
;Sancho;;;;;;;;;;;;;;;;;;;;;;
;Botswain;;;;;;;;;;;;;;;;;;;;;;
;John;;;;;;;;;;;;;;;;;;;;;;
;27;;Mænd - 27.;;;;;;;;Föd 1/0;;;;Recapitulation;;;;;;;;
;;;drenge — 3.;;;;;;;;Död 1/2;;;;Males 35.;;;;;;;;
;;;ditto 5 35;;;;;;;;;;;;Femels 21;;;;;;;;
;;;Qvinder... 17.;;;;;;;;;;;;Born. 1;;;;;;;;
;;;Piger  4      21      51;;;;;;;;;;;;Died ..3;;;;;;;;
;;;;;;;;;;;;;;;60;;;;;;;;
;;;;;;;;;;;;;;;St Croix 21st. day of December 1799;;;;;;;;
;;;;;;;;;;;;;;;George Baker;;;;;;;;
