List of Negroes, the property of Richard Carty;;;;;;;;;;;
Men;Women;Boys for;Children under;;Bought;Births;Deaths;Number;;Total;
;;12 to 16;12 years of age;;this;;;of;;Number;
;;years of age;Boys;Girls;year;;;Males;Females;;
Baptist;Sarah;France;Prince;Polly;;;Ned;10;18;28;
Sam.;Peggy;1;Pedro;Elizabeth;;;1;;;;
Cobby.;Margaret;;John;Marian;;;;;;;
William;Venus;;Mingo;Cleone;;;;;;;
4;Geet;;Lewis;Bess.;;;;;;;
;Jenny;;5.;Judith;;;;;;;
;Lucey;;;Minnah;;;;;;;
;Sarah.;;;Hester;;;;;;;
;Cate;;;8;;;;;;;
;Nancy;;;;;;;;;;
;10;;Mænd...4-;;;;;;;;
;;;Drenge 6;;;;;;;;
;;;10 skatbare;;;;;;;;
;;;Qvinder.. 16;;;;;;;;
;;;piger.. 8;;;;;;;;
;;;og de 1. drengg;;;;;;;;
The above number of 28 Negroes is just;;;;;;;;;;;
St Croix December 21 1799;;;;;;;;;;;
Richard Carty;;;;;;;;;;;
