A list of negroes belonging to the Est a. of Dan Merlett Esqr Dec° = Est End Quarter Letter Bw = 3&4;;;;;;;;;;;;A list of Negroes Belonging to Ann Merlen;;
Whites;Men;Women;Boys;Girls;Total;;;;;;;Men;Girl;Totall
1 Edith Merlett;1 Yankey;1 Cotto;1 Billy;1 Susanna;10 Men;;;;;;;1. Joe;1 Lucy;2 Men
2 Sus na Merlett;2 Bastian;2 Rosaline;2 Benjaman;2 Jean;12 women;;;;;;;2 William;;1 Girl
3 Ann Merlett;3 Cudjoe;3 Sarah;3 Moses;3 Catharin;4 Boys.;;;;;;;;;3 total
4 Eliza C Merlett;4 Champain;4 Margarit;4 Aron;4 Marriah;4 Girls.;;;;;;;;The above is a true, &;
5 Mary Neeman;5 Christian;5 Fanny;;Martha bot the 3d Augt. 1799;30 Totall;;;;;;;;Just List given from ;
6 Mary Brown;6 Alexander;6 Leamah;;2 Rosanna;;;;;;;;;under my hand this 21 ;
7 Danl M Powe;7 Joe;7 Marriah;;;;;;;;;;;Decr. 1799 P. Merlets;
;8 Jack;Ruth;;;;;;;;;;;;
;9 Pencilvang;9 Junk;;;;;;;;;;;;
;10 David;10 Johannah;;;;;;;;;;;;
;1 Hans dide the 2 March 1799;11 Sofy;;;;;;;;;;;;
Mænd..10;2 Madore dide the 10 April 1759;12 Rachel;The above is a true & Just List;;;;;;;;;;;
Drenge 4  14;;;given from under my hand;;;;;;;;;;;
Qvinder. 12.;;;this 21st. december 1799.;;;;;;;;;;;
Piger... 4     16;;;P merlett Son & manager;;;;;;;;;;;
30;;;;;;;;;;;;;;
Döde. 2/0;;;;;;;;;;;;;;
Bosaler 0/2;;;;;;;;;;;;;;
