Males;Petres;Mary anna
Adam;Petres Jan;Nanny
John;Peter;Pomelia
Pinjoe;Present;Sanchy
Jacob;Reynardus;Sarah
Hgarrus;Jamsie;Susanna
Amsterdam;Sadler;Violet
alexander;Sam;Yemba
Andre;Wandomengo;girls
Brisk;William;Anna
rapid;Edward;Christianna
Cupidor;Women;Anna Louisa
Cesar;Abba;Elizabeth
David, ??????;Amalia;Wilhelmina
???????;Ajuba;Clorimena
Frank;Belinda;Boys
Fredrech;Cecilia;Thomas
George jr;Clorinda;Paulus
Henry;Cotto;
Isaac;Daphné;
Joshua;Eva;
John;Flora;
James;Jenn Ata;
Kings mill;Jenny;
London;Louria;
Liverpool;Martha;
Micheal;Maria;
Mattias;Minerva;
Nimrod;Madlain;
Liver;Minchy;Males 41
Philander;Mary;Females 27
;;Girls 6 
;;Boys 2
;;Children 4
;;80
;;?????????????????
;;Bart Fleldher
