A list of Negroes on Longford Estate;;;;;;;
In Company's Quarter No 26. the property of Lucas Dewin;;;;;;;
Lucas Dewint;Able Men;Ditto women;Trades men;House;Boys;Girls;Births.
Mrs Dewint &;;;;Negroes;;;Boys.
child.;;;;;;;
Thomas M;1. Charles;1. Anegs;1 James;1 Paulus;1 George;1 Catharina;1 George W.
Bladwell;2. Prince;2 Betty;2. Martc;2. Starn;2 Sammy;2 Cinty;2 James 
manager;3. Andrew;3. Betoiy;3. Billy;3 David;3 Peter;3. Esther L;3 Tom -
P.J. Heyliger;4. Artheur;4. Bella;4 Jacob;4 Robin;4 Thomas;4. Jenny;4 Sam-
curier.;5 Billy fed-;5. Bella;5. London;5 George;5. Peter.;5. Nelly;5 Matias
;6. Caçian;6. Bridgitt;6. Ton;Peggy;6 Jno. William;b Patience;
;7. Cromwell;7 Bridgitt;7. Peter M.;2 Philis;7 Michael;7. Queen;
;8. Carius;8. Charlotte;8. Neptune;3 Doran;;8. Liddy;
;9. Dublin;9. Charlotte;9. Jupiter;4 Jenny;;9. Kitty;
;10 Daniel;10. Catharina;10. Harry;5. Ann;;10 Katty;
;11 Dominick;11. Cotto;11. Cartitto;6. Aaladi;;11. Sarah;
;12. Francwa;12 Dorinda;;7 Nelly.;;12. Sarah C.;
;13. King sail;13 Elivy;;18. Margarté;;13.Betty;
;14 Hetor;14 Esther;;;;14 Scheba;
;16. Isaac;15. Fanny;;;;15. Maria;
;16. Congo JW;16. Flora;;;;16 Christiana;
;17 Neptun;17. Jenny.;;;;17 Eliza;
;18 Quashey;18. Catty M;;;;18. Berty;
;10 Sandy;19. Catty d;;;;19 Doll;
;20. Sambo.;20. Lucy;;;;20. Penny;
;21. Will;21 Molly.;;;;21. Rilia;
;2. Rodney;22. Mariechy.;;;;22 Rigan;
;23. Scipio;23 Matilda;;;;23 Harriett;
;24. Simon;24 Madlano;;;;;
;25 Longford;25 M Nanny;;;;;
;26. Kiddy.;26. Nanny B. ;;;;;
;27. Nicholas;27. Nanny L;;;;;
;28. Laurence;28 Nancy;;;;;
;29 Thomas;29. Phebe;;;;;
;30. Edvard;30 Polly;;;;;
;31. manual;31. Peegy;;;;;
;32 Jemmy;32 Polly 1;;;;;
;33 Mark;33. Sue B.;;;;;
;34 Luke;34 Sue L;;;;;
;35 Limbick;35. Sarah;;;;;
;36. Tomba;36 Hanah;;;;;
;37. Frank;37 Judy;;;;;
;38. Kill;38 Mary Ch.;;;;;
;39. Frank;39. Mary Ca;;;;;
;40. Dichey;40 Queen;;;;;
;41. Champaiy;41. Angelin;;;;;
;42 Peter;42. Grany;;;;;
;42 Sebastian;43 Batty E;;;;;
;43. Pattiy;44. Louisa;;;;;
;44 Chistianen;45. Pamilia;;;;;
;45. yarte-;46 Marian;;;;;
;;47. Rose;Mænd 61.;;;;
;;48 Ligett;drenge — 7 68;;;;
;;;Qvinder 56;;;;
;;;Piger 23;;;;
;;;79;;;;
;;;147;;;;
;;;fod 5/0;;;;
;;;död 6/4 ;;;;
;;;Able Men 45;;;;
;;;Ditto women 48.;;;;
;;;Tradesmen - 11;;;;
;;;House Men & Boys - 5;;;;
;;;Women & Girls 8.;;;;
;;;Boys - 7.;;;;
;;;Gils - 23;;;;
;;;147. Janable;;;;
;;;Death 6 Male & 4 females - 10;;;;
;;;Births -5.;;;;
;;;I certify the above list is just;;;;
;;;Thomas. Bladwell;;;;
