List of white People. & Negroes belonging to Joe. Johnson;;;
Whites;Slaves;;
Joe Johnson;Men;Women;Boys
Christ: Johnson;1. Joney;1 Purity;1. Nicolas
Sarah Johnson;2 Johannes;2. Louise;2. Alexander
children;3. Egnis;3. Pationee;Girls
Joe Isack Johnson;4. Cadeo;4. Maria;1 Antoinette
ChicnJohnson;5. Abram;5. Janette;2. Bettsey
Jones Johnson;6. Dick;6. Cataling;3. Elizabeth
Sarah Johnson;A. William;7 Rose;
;;8. Catharina;
Mænd 7;;Johnson;from africa Abram
Drenge 2    9;;;1. Purchased this year t
Qvinde 8....;;;1 died. Polly
Piger   3   11/20;;;
Dode 0/1;;;
