A List of Negroes belonging to Jacob Constable;;;;;;;;;;;;;;;;;;;
Capable;;Half-Grown;;childern under 10;;Births;;Deaths;;;;;;;;;;;
Men;Women;Boys;Girls;Boys;Girls;Boy; Girls;Males;Females;;;;;;;;;;
Peter;Martha;;;;Elvirah; George;;;;;;;;;;;;;
Samuel;Nancy;;;;Chalott;1.;;;;;;;;;;;;;
2;Jinny;;;;Jinny;;;;;;;;;;;;;;
;Procella;;;;3.;;;;;;;;;;;;;;
;4;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
"Recapitulation
Men  - - - - 2
Women - - - - 4
Girls - - - -3
Births Boys 1
Total number 10
December 13th 1799 Withness my hand Jacob Constable ";;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
