List.;;;;;;;;;;;;;;;;;;
Of White Inhabitants & negroes on the estate Sweet Bottom, Situated under N. S Northside Quarter Lt. A, the property of the heirs of Rowland Davies decd;;;;;;;;;;;;;;;;;;
Field Negroes;;;;;;;;;;;;;;;;;;
White Persons;Able;;Half Grown;;;Children under 10 Years;;;;Tradesmen;;House Negros;;;Negroes bot.;;Born this Year;
;;;;;;;;;;;;;;;this Year;;;
Occupation;Men;Women;Boys;Girls;;Boys;Girls;;;NB. No Boye;;Men;Women;;Men;Women;Males;Females
1. Penelope Davis, &;1. Bristol;1. Armina;;1. Jane long;;1. Ben;1 Rosina;;;1 Frederick;;;1. Maria;;;;;
Daughters;2. Cupidore;2. Hannah;;2. Anna;;2 Joseph;2 Cathrine;;;2 Mingo;;;2 Charlotte;;;;;
2. Penelope Davies;3. Cato;3 Nancy;;;;3 cash.;3 Phebe;;;3 Prince.;;;3 Tabitha;;;;;
3 Jane Davies;4 L. Frederick;4.Eve;;;;4 Leander;4. Phillis;;;4 William;;;4. Kitty;;;;;
4. Elizaa Davies;5 Johannes;5. Clarissa;;;;;5. Lidely;;;;;;5. Sophy;;;;;
5 Luke McDonough;6 John;6 Quasheba;;;;;6. Fanny;;;;;;;;;;;
Manager;7. London;7. Nanny;;;;;;;;;;;;;;;;
;8 L. London;8. Minerva;;;;;;;;;;;;;;;;
;9.Spy.;9. Bella;;;;;;;;;;;;;;;;
;10 Hender.;10. Loiusa;;;;;;;;;;;;;;;;
;11. Dick;11. Mary;;;;;;;;;;;;;;;;
;12. Richmond.;12. Rosetta;;;;;;;;;;;;;;;;
;13. Will.;13. Rebecca;;;;;;;;;;;;;;;;
;14 Frank;14. Harriet;;;;;;;;;;;;;;;;
;15. Allen.;15. Sally;;;;;;;;;;;;;;;;
;16. Tom;16. Betty;;;;;;;;;;;;;;;;
;17. Bob.;17. Penny;;;;;;;;;;;;;;;;
;18. Cash.;18. Lucy;;;;;;;;;;;;;;;;
;19 January;19. Susannah;;;;;;;;;;;;;;;;
;20. Abraham;20. Flora;;;;;;;;;;;;;;;;
;21. Isaac;;;;;;;;;;;;;;;;;
;22 Sam.;;;;;;;;;;;;;;;;;
;23 Harry;;;;;;;;;;;;;;;;;
;24. Ned.;;;;;;;;;;;;;;;;;
;25. Jacob.;;;;;;;;;;;;;;;;;
;26 Pompey;;;;;;;;;;;;;;;;;
;27 Dublin;;;;;;;;;;;;;;;;;
;28 Charles;;;;;;;;;;;;;;;;;
;29 Polydore;;;;;;;;;;;;;;;;;
;30. Cambridge;;Died this Year;;Free from taxes;;;Total of;;;Recapitulation;;;Taxable Slaves;;;;
;31 Bacchus;;Males Females;;Males. Females.;;;taxable Slaves;;;Free from Taxes;;;Field Negro Men & Boys ..... 35;;;;
;32. Jupiter;;1. Caroline;;1.;;;Males Females;;;1. Death;;;d* Women & Girls  ...... 28;;;;
;;;;;;;;39;;;;;;Tradesmen ......... 4;;;;
;;;;;;;;33;;;;;;House negro women  ...... 5;;;;
;;;;;;;;;;;;;;Total 72;;;;
;;;;;;;;;;;;;;;;;;
;;Of the above The following;;;St. Croix 11 th Decbr. 1799;;;;;;;;;;;;;
;;Negroes are Rented;;;For the heirs of Rowld Davies decd.;;;;;;;;;;;;;
;;1. Ben 10. Rosina;;;J Krause;;;;;;;;;;;;;
;;2. Cash   11. Catharine;;;;;;;;;;;;;;;;
;;3. Joseph  12. Phebe;;;;;;;;;;;;;;;;
;;4. Mingo  13. Maria;;;;;;;;;;;;;;;;
;;5. William 14. Charlotte;;;;;;;;;;;;;;;;
;;6.Nancy 15.Tabitha;;;;;;;;;;;;;;;;
;;7. Eve 16.Kitty;;;;;;;;;;;;;;;;
;;8. Janelong    17. Sophy;;;;;;;;;;;;;;;;
;;9. Anna;;;;;;;;;;;;;;;;
