Annual List;;;;;;;;;;;;;;
Of the while Inhabitants and Negroes on the Estate Prospect Hill the property of JN Sempill;;;;;;;;;;;;;;
;Capable;;Half Grown;;Children;;Tradesmen;M. Negroes;Total N° of Negroes;;Born;;Died;
Whites;Men:;Women;Boys;Girls;Boys;Girls;;;Males;Femals;Boys;Girls;Males;Females
Jas Fraser;1 Cony;1 Veronique;1 And;1 Polly;1 Isaac;1 Maria;1 Johny;1 Sarah;-31;54;1 Ambrose;1 Peggy;1 Sam;1 Rachel
Jas Maephemen;2 Dick;2 Becky;2 Samson;2 Pricilla;2 Moses;2 Tina;2 Quashey;2 Rachel;;;2 Peter;2 Rachel;2 Trylus;2 Present
;3 Mackeeth;3 Sarah;3 Abraham;3 Katy;3 John;3 Ruthy;3 Samy;3 Calister;;;;3 Diana;;3 Gogy
;4 Adam;4 Quasheba;4 Jona;4 Nancy;4 Anthony;4 Sué.;1 Samy;;;;;;;4 Isabel
;5 Thomas;5 Sarah;;5 Isabella;5 Robin;5 Tranees;5 Andreas;;;;;;;
;6 Charles;6 Sarah;;6 Cathrina;6. George;6 Maria;6 Sampson;;;;;;;
;7 Will.;7 Charlotte;;;7 Henry;7 Maria;7. Joshua;;;;;;;
;8 Prince;8 Betty;;;8 Dimond;8 Assee;8 Quamuna;;;;;;;
;9 Kinsale;9 Affee;;;9 David;9 Sarah;;;;;;;;
;;10 Cuba;;;10 James;10. Sue;;;;;;;;
;;11 Diana;;;;11 Martha;;;;;;;;
;;12 Anglece;;;;12 Sally Bet;;;;;;;;
;;13 Mary;;;;;;;;;;;;
;;14 Hariet;;;;;;;;;;;;
;;15 Debora;;;;;;;;;;;;
;;16 Becky;;;;;;;;;;;;
;;17 Eva;;;;;;;;;;;;
;;18 Rachel;;;;;;;;;;;;
;;19 Lea;;;;;;;;;;;;
;;20 Diana;;;;;;;;;;;;
;;21 Offera;;;;;;;;;;;;
;;22 Dora;;;;;;;;;;;;
;;23 Lavenca;;;;;;;;;;;;
;;24 Bennaba;;;;;;;;;;;;
;;25 Eve;;;;;;;;;;;;
;;24 Cattita;;;;;;;;;;;;
;;27 Hester;;;;;;;;;;;;
;;28 Serena;;;;;;;;;;;;
;;29 Philis;;;;;;;;;;;;
;;30. Ashy;;;;;;;;;;;;
;;31 Angelina;;;;;;;;;;;;
;;32 Betty;;;;;;;;;;;;
;;33 Lady H;;;;;;;;;;;;
;;34 Madlane;;;;;;;;;;;;
;;35 Betsey;;;Mænd 17.;;;;;Recapitulation;;;;
;;;;;drenge 4.;;;;;Field Negroes 76;;;;
;;;;;ditto  -10 31;;;;;Tradesmen 8;;;;
;;;;;Quinder 38;;;;;House Negroes  3;;;;
;;;;;Piger   18 -56 - 87;;;;;Died 6;;;;
;;;;;Föd 2/3;;;;;Born 5;;;;
;;;;;Död. 2/4;;;;;;;;;
;;;;;This is so certify the above List is just;;;;;;;;;
;;;;;James Fraser;;;;;;;;;
