Liste ;;;
Af negere som tilhörer Hans Major Adam Söbötken, innen foer ikke;;;
and ????????? Hans Plantage Caledonia;;;
Mænd ;Qvinde;Drenge;
1. Johan Gregorised;1. Cathanina;1. Wanaie;Skatbare
2. Sanders;2. Maria;2. Arena;Mænd 4
3. Princes;3. Rosalia;3. Kirban;Drenge 5 
4 John i Kiöbenhavn;4. Bina i Kiöbn;4. Johan Christian;9
;;5. Rasmus;Negere hvoraf ingen skat 
;;;betales
;;;Qvinde 4
;;;St Croix  the 13 december 1799
;;;For Major Adam Sóbötken
Mænd 4;;;??????????????????????
Drenge 5;;;
9 Halvborn;;;
Qvinde 4 ;;;
13;;;
