A List of Negroes on Moat Ferralt. Estate the property;;;
of the Heirs of Roger Ferrall Esqr. deceased;;;
Northside Quarter Letter A and No 4;;;
December 13th 1799;;;
Men                    N°;Men                  N°;Women;
Frederik 1;Taeniny +;Helen 7;Girls
Francis 2;Harry+ 34;Eve 8;Charily 1
Thomas 3;Patrick+ 35 ;Maryanne 9;Madelein, 2
Punch 4;Daniel+ 36;Sarah 10;Catharinehy 3
Billy 5;Bryan+ 37;Addah 11;Lucretia 4
Quamina 6;Mathias+ 38;Suckey 12;Sally. 5
Quaw 7;John Boy 39;Bridget 13;Sally m. - 6
Fidol.. 8;Francis 40;Charlotte 14;Elizabeth 7
Jacob 9;Starpen 41;Pinda - 15;Rose 8
B. Saul..10;Paul 42;Margo 16;Hannah 9
Frank 11;George 43;Phillis 17.;Biddy - - 10
Hanniball 12;Jack 44;Nanette + 18;Maryann 11
Tenelik 13;New Negroes;Purreen + 19;Emily..12
Sam 14;Bot the 11 Jany;Nancy + 20;Sophy 13
Simon 15;Cesar 45;Mary + 2;Born this year
Quashey.. 16;Luck 46;Fanny + & 22;Betsey..1
James.. 17;Phillip;Boys;Susanna 2
Santy - 18;Stephen 43;Toby.. 1;Rebeca 3
Nero 19;Iam... 49;C. John 2;Alexander
Denmark 20;Isaac: Boys 1;John - 3;Carno
March 21;Jasper 2;Thomas.4;Toby
Ned 22;Oickey 3;Nickey + 5;Josey
monday 23;Punch 4;Jimmy+ 6;
Anthony 24;Women;Joe... 7;
Cuffy. 25;Tatima 1;Roger 8;
Duk 26;Cotilla;Joseph 9;
Miles 27;Betty 3;Baptist 10;
Johnno +;Margaret 4;Adam 11;
Peter + 29;Jenny 5;;
Martins +30;Penny 6;;
Jeny + 31;;;
Joe + 32;;;
