ROES en Mount Eagle Estate N.° 14 Northside Quarter Letter B;;;;;;;;;;;;;
HOUSE NEGROES.;;;;Total number of;;BORN.;;In this 10e;;New Negroes;;Number of Ne-;
;;;;NEGROES.;;;;DIED.;;BOUGHT;;groes free;
;;;;;;;;;;since 1st of July.;;from Taxes.;
Men.;Women.;Boys.;Girls.;Male;Females.;BOYS;Girls.;Males.;Females.;Males.;Females;Males.;Females.
None;1 Judy;1 Jasper;None;;;;;1 Wok;;;;;
RECAPITULATION.;;;;;;;;;;;;;
g;;;;;;;;;;;;;
TRADES MEN,;;;;;;;;;;;;;
HOUSE NEGROES,;;;;;;;;;;;;;
Free from Tax.;;;;;;;;;;;;;
BORN,;;;;;;;;;;;;;
DIED,;;;;;;;;;;;;;
BOUGHT, —;;;;;;;;;;;;;
Taxable NEGROES,;;;;;;;;;;;;;
Mænd..13;;;;;;;;;;;;;
Drenge.... 7;;;;;;;;;;;;;
Ditto 2. 22.;;;;;;;;;;;;;
Qvinder... 11;;;;;;;;;;;;;
Piger 5      10;;;;;;;;;;;;;
38;;;;;;;;;;;;;
Födte 0/0;;;;;;;;;;;;;
Döde 1/0;;;;;;;;;;;;;
