Annual List of White inhabitants;;;;;;;;
N° the property of Thomas Giese Esqr. as rendered this;;;;;;;;
Names;Field Negroes;;;;Children under 10 years;;Tradesmen;
of Whites &;;;;;;;;
their;Capable;;Half grown;;;;;
Occupation;Men;Women;Boys;Girls;Boys;Girls;Men;Boys
Joachim Salomon;Apollo;Abba;George;Biddy;Benjamin;Deborah;Miole;
;Barrington;Benneba;Scipio;Bell;Jacob;;Tom;
;Elliot;Beckey;Pope;Charlot;Peter;;;
;Franck;Calipso;Prince;Hester;Sam;;;
;Hector;City;Frederick;Mary ann;William;;;
;Jack;Diana;;Lucritia;John;;;
;Jemmy;Didoe;;Caroline;Quacoo;;;
;Levere;Hannah;;Mary;;;;
;Mingo;Jenn;;Kitty;;;;
;Mark;Madlane;;;;;;
;Pitt;Margaret;;;;;;
;Peter;Ce. Nancy;;;;;;
;Sinclais;W. Nancy;;;;;;
;Luvy;Peggy;;;;;;
;Sam;Polly;;;;;;
;Will;Penny;;;;;;
;Goodluck;Rachael;;;;;;
;Bristol;Vinus;;;;;;
;Ceciro;Poreen;;;;;;
;Johnton;Henneritta;;;;;;
;Nielson;Angelica;;;;;;
;Parris;Caroline;;;;;;
;Grey;Mary;;;;;;
;Warren;Kittty;;;;Mænd 27.;;
;Pellew;;;;;Drenge 2;;
;;;;;;ditto 7;;
;;;;;;Qvinder 25;;
;;;;;;Piger 16.;;
;;;;;;Föd 1/2;;
;;;;;;död /;;
;;;;;;St. Croing 11. Decmn. 17;;
;;;;;;I do hereby Certify that;;
;;;;;;a Just ther on;;
;25;24;5;9;7;1;2;
