Annual list of white inhabitants residing on and negroes belonging to estate Prosperity Northside Quarters Let;;;;;;;;;;;;;;
For the year 1799;;;;;;;;;;;;;;
White;Capable Negroes;;;Halfgrown Negroes;;Children under;;Tradesmen;House Negroes;;Valetudenaicans;;Births;
Inhabitants;;;;;;10 years;;;;;;;;
Occupation;Males;Females;;Males;Females;Males;Females;;Males;Females;males;Females;males;Femal
John Culbertson;1 Adam;1 Anna;25 Blanch;1 London;1 pheba;1 Dublin;1 Bella;1 Sam;1 Peter.;1 Netta;1 Nicolas;1. Sophia;;Lucy
Math Armstrong;2 Adom;2 Boletta;26 Baroheba;2. Cesar;2 Sue;2 York;2 kitty;2 Polidor;✓;2 Lucretia;men;✓;;Molly
Manager;3 Billy;3 Betty;27 Helene;3 st Croix;3 Hora;3 Isaac;3 Maria;3 Charly;;✓;✓;;;
;4 Bacchus;4 Cloe;28 Matila;✓;4 ????.;4 Jacob;4 Belinda;✓;;;;;;
;5 Cornelius;5 Dianna;29 Charlotta;;✓;5 Jasper;5 Johan long;;;;;;;
;6 Cud Joe;6. Hannah;30 Lea;;;6. Joseph;6 Dorothea;;;;;;;
;7 Cato;7 Harriot;31 Boletta;;;7 William;7 Elizabeth;;;;;;;
;8 Cussy;8 Minerva;32 Mira;;;8 Pitrus;8 Margo;;;;;;;
;9 George;9 Cordelia;33. Joseillea;;;9 Solomon;9 Sarah;;;;;;;
;10 Hector;10 Mary;34 Flora;;;11 Bartholome;10 Betyy;;;;;;;
;11 Harry;11 Mass;.;;;12 Saturday;11-jan;;;;;;;
;12. Jack;12 Jenny;;;;13 Cudjoe;✓;;;;;;;
;13 Nero.;13. Maroy;;;;14 Anthony;;;;;;;;
;14 Prush.;14 Yoosebepe;;;;✓;;;;;;;;
;15 Quash;15 Nimy;;;;;;;;;;;;
;16 Sampson;16 polly;;;;;;;;;;;;
;17 James;17 Peggy;;;;;;;;;;;;
;18 apollo;18 phillis;;;;;;;;;;;;
;19 Ferdinand;19 Rose;;;;;;;;;;;;
;20 David;20. Sué;;;;;;;;;;;;
;21 Alphonso;21 Sally;;;;;;;;;Total number of Negroes;;;
;✓;22 Lidetta;;;;;;;;;Males;Females;total;
;;23. Tenier;;;;;;;;;49;62;111;
;;24 Agnes;;;;;;Mænd 26;;;;;;
;;;;;;;;Drenge.. 3.;;;;;;
;;;;;;;;Ditto 14;;;;;;
;;;;;;;;43;;;;;;
;;;;;;;;Qvinder.. 37.;;;;;;
;;;;;;;;Piger.. 15.;;;;;;
;;;;;;;;52;;;;;;
;;;;;;;;95;;;;;;
;;;;;;;;Bosaler;;;;;;
;;;;;;;;Mænd.. 6;;;;;;
;;;;;;;;Qvinder. 8;;;;;;
;;;;;;;;14;;;;;;
;;;;;;;;Fødte 0/2;;;;;;
;;;;;;;;Dode 0/1;;;;;;
