to North Star estate N° 19 & 20 North side Quarter letter B;;;;;
1799;;;;;
Born in 1799;Died;Died;Maquroons;;
Females;Males;Females;Males;Females;
Mary Ann;Allick;Ann;Billy;Mary;
Franky;Jonathan;Hannah (a child);Cæsar;Amba;
Priscilla;Jarvis;2.;George;Elizabeth;
3.;New;;Lucas;Louisa;
;negroes;;Emanuel;Mineny;
;Anthony;;Samuel;5.;
;William a Child;;Cussy 7;;
;5.;;;;
Recapitutation;;;;;
Men....39;;;;;
Women.... 30;;;;;
Boys 10;;;;;
Girls......6.;;;;;
Children 21.;;;;;
Maqueroons 12.;;;;;
Total 118.;;;;;
Mænd - 46.;;;;Dec: 11th. 1799;
drenge - 10.;;;;John Allen;
ditto... 11. 67;;;;;
Qvinde.. 35;;;;;
114;;;;;
Piiger... 12/47 — 47;;;;;
Föd 1/3;;;;;
död 5/2;;;;;
