List Whites, also negroes on Clar Mount Estate Situated in Queens Quarter the Property of.;;;;;;;;;;;;;;;;
Joseph B Chabat Esqr.;;;;;;;;;;;;;;;;
N° Whites;;Able;N° Negros;Able;N°Negros;Grown;N° Negros;Grown;N°Negros;Invalids;N° Negroes;Boys under;N° Negros; Girls 10;N° Negros;Births
;;Men;;Women;;Boys;;Girls;;;;10 years;;years;;
;;;;;;;;;;;;;;under;;
1 Basell G Long;;Piano 1;;Bess 1;;Peter 1;;Sam 1;;Peggy 1;;John;;Rosett;;Joe 1
2 N. Newcogno;;Asalus 2;;Bella 2;;Paul 2;;Hannah 2;;Pollid 2;;Thomas;;Lettice 2;;Abram 2
;;Billy 3;;Adjuba 3;;Michal 3;;Sarah 3;;Hercules 3;;Scipo 3;;Christina 3;;Tony 3
;;January 4;;Kitty 4;;;;;;Domingo 4;;Sam 4;;Clarinda 4;;Deaths
;;Beau 5;;Chloe 5;;;;;;Caroline 5;;;;Lucie 5;;Tony 1
;;January 6;;Ellan 6;;;;;;Old Juba 6;;;;Mary 6;;Pluto 2.
;;Kitt???? 7;;Elsy 7;;;;;;3;;;;Rachal 7;;Rotland
;;Lightpost 8;;Fanny 8;;;;;;3;;;;Catharina 8;;Jupiter 4
;;October.9;;Phiba 9;;;;;;;;;;Cato 9;;Leonera 5.
;;Romeo 10.;;Cato 10;;;;;;;;;;Elizabeth 10.;;
;;Sam 11;;Protto 11;;;;;;;;;;;;
;;Denora 12.;;Panny 12;;Negroes in his Most Gracious;;;;;;;;Recapitulation;;
;;;;;;Majestys Loan;;;;;;;;Able Men... 12.;;
;;;;;;;;;;;;;;Able Women 12;;
;;;;;;;;;;;;;;Half grown boys 3;;
;;;;;;;;;;;;;;Half do girls 3;;
;;;;;;;;;;;;;;Invalids 6;;
Mænd  27;;;;;;;;;;;;;;Boys under 10 years 4;;
drenge - 15-;;;;;;;;;;;;;;Girls do do  10;;
Ditto 4      46;;;;;;;;;;;;;;Births 3;;
Qvinder 26;;;;;;;;;;;;;;53;;
Piger... 23;;;;;;;;;;;;;;;;
49;;;;;;Men.;;Women;;Grown;;Grown;;;;
95;;;;;;Nero 1;;Candice 1;;Boys;;Girls;;;;
;;;;;;William 2;;Missaka 2;;Gillas 1;;Mariana 1;;;;
;;;;;;Danis 3;;Rachel 3;;Philipe 2;;Kitty 2;;;;
;;;;;;Neptune 4;;Luey 4;;Christian 3;;Aghetea 3;;;;
Total Number 98;;;;;;Adam 5;;Cordelia 5;;Congo  4;;Juliet 4;;;;
Banc Y long;;;;;;Brunapaas 6.;;Venus 6;;Dennis 5;;Peggy 5;;;;
föd 3/0;;;;;;Molion 7;;Sama. 7;;alilarster 6;;Dido. 6.;;;;
död 4/4;;;;;;Dempire 8;;Minerva 8;;Present- 7;;Polly 7;;;;
;;;;;;Solomon 9;;Dianna 9;; Sampson 8;;Pheba 8;;;;
;;;;;;Dennis 10;;Phibas 10;;Mars 9;;Ziza 9;;;;
;;;;;;Apollo 11;;Phatsy 11;;Alois 10.;;L Marianne 10;;;;
;;;;;;Sammy 12;;;;Harry 11;;;;;;
;;;;;;;;;;Mingo 12;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
