Annual List of the White Inhabitants and Negroes on the Estate Jealousy in;;;;;;;;;;
Whites;Capable;;Half Grown;;Under 10 years;;Tradesmen;;;
;Men;Women;Boys;Girls;Boys;Girls;Men;Boys;Men.;
D. Fariss;Johoy;Andreiatta;Andrew;Madlane;January;Mary an;Gosper;Primé;Jack;
Manager;Billy;Charlotte;Martineno;Christianna;John;Savido;Fralia;1;1;
;Cuffy;Clarrissa;Gratia;Roseniva;Thomas;Solomie;Toney;;;
;Antoney;Elizabeth;Tom;Martha;William;Anna Maria;Cezar;;;
;Adam;Emelean;Johns;Eva;Guilliam;Susanah;Johanness;;;
;Bartas;old Fanny;5;Hannah;Philipes;Ruthy;Cudjoe;;;
;Coatea;Congo Fanny;;Bay;William;Cottoreinah;Sam;;;
;David;Hellenah;;Bess;Wannoe;Willminna;Thomas;;;
;Duckey;John Coe;;Sarah;Adam;Sussana 9;John;;;
;Francee;Catey;;Cate;9.;9;Sambow;;;
;Francis;Lucey;;Elibey;;;Moses;;;
;Creol. Francis;Leah;;Pricilla 12.;;;Stephan;;;
;Glasgow;Maryan;;12;;;Dominick;;;
;Hachey;Margarete;;;;;Pear;;;
;Hamhlett;Mary;;;;;Scemmoe;;;
;Maranda;Martha;;;;;Jupiter;;;
;Congo Marander;Molly;;;;;Stephan;;;
;Neptune;Phebey;;;;;Frederick;;;
;Padees;Penry;;;;;Tounside;;;
;France;Nancy;;;;;19;;;
;Peter;old Polly;;;;;;;;
;Quace;Rosannah;;;;;;;;
;0. Quamina;O. Sophina;;;;;;;;
;Quamina;Criole Sophina;;;;;;;;
;Scipio;Sulingo;;;;;;;;
;Congo Sam;Susey;;;;;;;;
;Sam;Venus;;;;;;;;
;Sampson;Margett;;;;;;;;
;Johne;Madlean;;;;;;;;
;Johno;O mleah;;;;;;;;
;Jim;O. Lydia;;;;;;;;
;Old Jim;O. Chloe;;;;;;;;
;Sammey;O. Morotte;;;;;;;;
;Simon;Muchoro Fanny;;;;;;;;
;Tom;Chatharine;;;;;;;;
;Ebone Toney;O. Fanny;;;;;;;;
;Tobey;O. Jenny;;;;;;;;
;Congo Tobey;O. Susanah;;;;;;;;
;Tabow;Abigal;;;;;;;;
;Toney;O. Bess;;;;;;;;
;Yartechey;O. Present;;;;;;;;
;Zacherias;Dinah;;;;;;;;
;Dublin;Jenny;;;;;;;;
;Ben;Judy;;;;;;;;
;Tom;Juliett;;;;;;;;
;Quashe;Moll;;;;;;;;
;Moses;Mary;;;;;;;;
;Sambozo;Sennett;;;;;;;;
;Grove;Nancy;;;;;;;;
;Dick;Sue;;;;;;;;
;George;Sally;;;;;;;;
;old Martin;Suckey;;;;;;;;
;Myles;Silvia;;;;;;;;
;Samat;Frankey;;;;;;;;
;Harry;Polly;;;;;;;;
;Johanness;Suckey;;;;;;;;
;Mingoo;Dinah 57;;;;;;;;
;Rechger;57;;;;;;;;
;Pompy;;;;;;;;;
;Solomon;;;;;;;;;
;Henrich;;;;;;;;;
;françois;;;;;;;;;
;Hans;;;;;;;;;
;Will;;;;;;;;;
;Nickey;;;;;;;;;
;Christian;;;;;;;;;
;Quand;;;;;;;;;
;David;;;;;;;;;London 71
;William;;;;;;;;;Robert 72
;Isace 70.;;;;;;;;;Tim 73
;83;;;;;;;;;Simon 74
;;;;;;;;;;Johno 75
;;;;;;;;;;Primus 76
;;;;;;;;;;Daniel 77
;;;;;;;;;;Billy 78
;;;;;;;;;;George 79
;;;;;;;;;;Sam 80
;;;;;;;;;;Michael 81
;;;;;;;;;;andrewe 82
;;;;;;;;;;Dich. 83
;;;;;;;;;;
;;;;;;;;;;
