Annual lists of Negroes on Mount Pleasant Estate the property of Cornelius H. Hortright;;;;;;;;;;;;;;;
Capable;;Half Grown;;Children under 10;;Trades Men;;House Negroes;;Total Number;;Born this year;;Died this year;
Men;Woman;Men;Women;Boys;Girles;Men;Boys;Men;Women;Men;Females;Males;Females;Males;Females
1 Johannes;1 A. Maria;1 Zaccheas;1 Juilean;1 Guy;1 A. Gralia;B. Smith;1 John;1 George;1 Dorethy;;;1 William;1 Culia;;1 Clarinda
2 Aminadab;2 Belly;2 David;2 Domingo;2 Thomas;2 Coretta;1 Prince;2 William;2 Christian;2 Hanna;;;2 Peter;;;2 Vans honne
3 Alexander;3 Christina;3 Warwick;;3 Ceasar;3 Elizabette;Massons;1 Martin;;3 Bess;;;3 Bastian;;;3 Bett
4 Cicero;4 Cata;4 Felix;;4 Samuel;4 Evae lenna;1 Franswa;;;;;;;;;4 Cattita
5 Cash;5 Clarisa;5 Lucas;;5 Tobias;5 Eva Maria;2 Zacharia;;;;;;;;;
6 Cambrigde;6 Caster;6 J. Jacob;;6 Valentine;6 Rebeca;3 Francis;;;;;;;;;
7 Dublin;7 Elizabeth;7 Stephanas;;7 June;7 Margret;4 Bob;;;;;;;;;
8 Hoseas;8 John toange;8 Andrias;;8 Isaac;8 Udick;5 Gosper;;;;;;;;;
9 Jemmy;9 Kelara;Women;;9 Jacob;9 Christina;Coopers;;;;;;;;;
10 Jasphet;10 Leah;54 Sarah;;10 Simole;10Antonette;1 Andries;;;;;;;;;
11 Martin;11 Lena;55 Franky;;11 Barba;11 Bella;2 Scipio;;;;;;;;;
12 Mathies;12 Louisa;56 Mary;;12 Cornelius;12 Mggdalena;3 Edward;;;;;;;;;
13 Joehannes;13 Magdalena;57 H. Maria;;13 Adam;13 Solony;4 Othello;;;;;;;;;
14 Priel;14 M. Min;58 Martha;;14 London;14 A.E Maria;5 Rinarder;;;;;;;;;
15 Prince;15 Peggy;59 Blaronne;;15-aug;15 Leah;Carpentens;;;;;;;;;
16 Paul;16 Present;60 Elizabeth;;16 Petrus;16 Molly;1 Jacob;;;;;;;;;
17 Peter;17 Rose;60 Zamy;;17 Sammy;17 Betey;2 Petrus;;;;;;;;;
10 Robin;18 Sapho;62 Clender;;18 Dick;18 Susanna;3 Plaus;;;;;;;;;
19 Sambo;19 Sopihira;;;19 Bassiau;19 Betts;4 Emanuel;;;;;;;;;
20 Stephanus;20 Sophira;;;20 John;20 Catherinchie;;;;;;;;;;
21 Samson;21 Sofhia;;;;21 Rebeca;;;;;;;;;;
22 Se miore;22 Strephera;;;;22 Lucy;;;;;;;;;;
23 Will;23 Ancilla;;;;23 Dorethey;;;;;;;;;;
24 Charles;24 Colleta;;;;;;;;;;;;;;
25 Cato;25 Mary;;;;;;;;;;;;;;
26  Dimon;26 Zabel;;;;;;;;;;;;;;
27 Polidore;27 Yanahy;;;;;;;;;;;;;;
28 Jane;28 Phiba;;;;;;;;;;;;;;
29 Gravisend;29 Charlotte;;;;;;;;;;;;;;
30 Daniel;30 Dorinda;;;;;;;;;;;;;;
31 Willy;31 Joehanna;;;;;;;;;;;;;;
32 Quamina;32 Maria;;;;;;;;;;;;;;
33 Tom;33 Violet;;;;;;;;;;;;;;
34 Sinole;34 Coco;;;;;;;;;;;;;;
35 Adam;35 Hanna;;;;;;;;;;;;;;
36 Ceasar;36 Phills;;;;;;;;;;;;;;
37 George;37 Lidy;;;;;;;;;;;;;;
38 Cassy;38 Margret;;;;;;;;;;;;;;
39 Qugera;34 Ketty;;;;;;;;;;;;;;
40 Alfred;35 Ajuba;;;;;;;;;;;;;;
41 Toby;36 Phiba;;;;;;;;;;;;;;
42 Gabriel;37 Dianna;;;;;;;;;;;;;;
43 Dennis;30 Catherine;;;;;;;;;;;;;;
44 Isaac;30 Lucy;;;;;;;;;;;;;;
45 Joehashy;40 Clara;;;;;;;;;;;;;;
46 Samuel;41 Sybella;;;;;;;;;;;;;;
47 Phillippus;42 Peggy;;;;;;;;;;;;;;
48 James;43 Sally;;;;;;;;;;;;;;
49 Cudjo;44 Venus;;;;;;;;;;;;;;
50 Christian;45 Christina;;;;;;;;;;;;;;
51 August;46 Loriana.;;;;;;;;;;;;;;
52 John;47 Sinatahy;;;;;;;;;;;;;;
53 Perro;48 M. Elezabeth;;;;;;;Mænd 71;;;;;Able Men;;
54 Charles;;;;;;;;Drenge... 11.;;;;;Half Grown D° 11;;
;;;;;;;;ditto 20.;;;;;Children D°. 20;;
;;;;;;;;102;;;;;Total Males 102;;
;;;;;;;;Qvinder 65;;;;;Able Woman 65;;
;;;;;;;;Piger... 26.;;;;;Half Growen D°. 2;;
;;;;;;;;91;;;;;Children D° 24;;
;;;;;;;;193.;;;;;Total Females 91;;
;;;;;;;;Födh 3/1;;;;;193;;
;;;;;;;;död 0/4;;;;;The above List is Just;;
;;;;;;;;;;;;;Alexr Grant;;
;;;;;;;;;;;;;Thos Bloke;;
;;;;;;;;;;;;;George Danain;;
;;;;;;;;;;;;;St Croix;;
;;;;;;;;;;;;;12 Decr. 1799;;
