List of White Persons and Negroes Residing on Richard Richardsons M. Ground;;;;;;;
"Estate Situated in Princes Quarter N"" for the year 1799";;;;;;;
White;Negroe Men;Negroe Women;Boys;Girls;Deaths;Birth;Negroes Bot this year
Persons;;;;;;;
Thomas Derrick;1 Peter;1 Baubah;1 Niethy;1 Minden;1 Bandora;1 Sally;1 Toney
Manager;2 Cyrus;2 Phiber.;2 Cyrus;2 Cinthey;Died 28;Born;2 John
;3 Bastian;3 Creole Margt;3 Sam;5 Madlain;May;10th Aug;3 Morander
;4 Ceasar;4 Molly;4 Battier;4 Nancy;1 Dead;1 Born;4 Bob
;5 Neptune;5 M.Margret;4 Boys;5 Bess;;;5 Joe
;6 Poiertiour;6 Piany;;6 Merriky;;;6 Jeffery
;7 Jesper;7 Sarah;;7 Bitty;;;6 men
;8 Newty;8 Franky;;7 Girl;;;
;9 Guy;9 Logtoy;;;;;
;10 Cudjo;10 Mimbah;;;;;
;11 Jim;11 Nanny;;;;;
;12 Old Jim;11 Women;;;;;
;13 Olliver;;;;;;
;14 Anguilla Jack;;;;;;
;15 Colebay Peter;;;;;;
;16 Silvesten;;;;;;
;17Abram;;;;;;1 Kate
;17 Men;;;;;;2 Hannah
;;;;;;;3 Prisilla
;;;;;;;4 Dutehess
;;;;;;;5 Sue
;;;;;;;5 Women
;;;;;;;11 Bought
;Mænd.. 23.;;;;;17 Men;
;Drenge 4   27;;;;;11 Women;
;Qvinde 16;;;;;4 Boys;
;Piger 7   23;;;;;7 Girls;
;80;;;;;1 Dead;
;föd 0/1;;;;;1 Born;
;död 1/0;;;;;11 Bought;
;;;;;;52 total N°. given in this 13th.;
;;;;;;Decr 1799 which I do Certify to be just;
;;;;;;Thomas Derrick;
