A List of white People and Negroes Residing on Mount Pillier Estate Situated in Prince's Quarter N. 7 the Property;;;;;;;;;;
of the Heirs of John O Ferrall Esqr. Deseased Given in the 12th Daÿ of December 1799.;;;;;;;;;;
White People;Field Negroes;Field Negros;House;House Negroes;Tradesmen;Boys under;Girls under;Increase;Decease for;Capitulation
Residing on the;Men;Women;Negroe;Women &;;6 years Old;10 years Old;for the year;the Year;
Estate;;;Men &;Girls;;;;;;
;;;Boÿs;;;;;;;
M. George;Ned Hodge;Rose;John Foÿ;Margaret;Hamlet;Charles;Bess Foÿ;Harrÿ;Phillis Sold;Field Negroe Men 36
Working as;Cupid;Rellia;Jemmÿ Foÿ;Cattoe;Joe Ferris;Congo Sam;Penny Foÿ;Kittÿ;Peter Mullato;Field Negroe Women 37
Manager;Hector;Jannakÿ;Mallÿ;Polly;adam;Bobb. Foÿ;Elina;Daniel;Joseph Sold;house Men & Boys 4
Mr. Matt O.;March;Biddy;Jen Mulata;Frace;James;Roger;Ritta Foÿ;3;Frank given;House Negroe women & girls 18
Farrall;March;Little Sarah;4;Maria;Tom Butler;James Foÿ;Winnÿ;;free;Tradesmen 15
Overseer;How Jack;Bettoe;✓;Nanceÿ Mullato;Bob;Billy Hasper;Marÿ;;Cherry Died;Boÿs under 10 years
Rand Charles;Stephin;Sussana;;Mary Long;Billy;Jacob;Nancÿ Dancÿ;;Lucÿ Sold;Old 18
Duchamell;George;Cottoe;;Mary Tom;Dibber;John Mullato;Hannah;;6.;Girls under 10 years
Chaplain;Simon;Judy;;Nellÿ;Jack Maison;John Ester;Ciaty Sally;;;old 27
;John;Rachell;;Nannÿ;Harrÿ;Phillip;Caty Sarah;;;Born in the Year.3.
;Silvester;Madge;;Fannÿ;York;Ned Köge;Barbara;;;
;Boatswain;Little Marÿ;;Nancÿ;Westmealh;Henrÿ;Jennett;;;
;Bobby;Peggÿ;;Mallÿ Fox;Judë;Edmond;Massy;;;
;Esper;Peter;;Hariett;Tom Fox;Samson;Maria;;;
;Andreas Old;Biy Sarah;;Backeÿ;Mÿles;Dominick;Nellÿ;;;
;andieas Little;Monomia;;Sally Murster;15;Kitt;Peggÿ;;;
;will;Bridget;;Bella;✓;Anthonÿ;Rose;;;
;Catoe;Cielia;;Marÿ an;;Ned Foÿ;Pollÿ;;;
;Sam;Bella;;18;;18;Elizabeth;;;
;Jammis;Caterinchy;;✓;;✓;Marÿ ann;;;
;Benn;Cloie;;;;;Bess;;;
;Patrick;Jennÿ old;;;;;21;;;
;David;Penelepÿ;;;;;✓;;;
;Lawrencia;Agness;;;;;;;;
;Lewiss;Sallÿ;;;;;;;;
;Sam Patrick;Venus;;;;;;;;
;Tonnÿ;Louisa;;;;;;;;
;Jutland;Liddÿ;;;;;;;;
;Sam Frank;Lucÿ;;;;;;;;
;Kitt;Martha;;;;;;;;
;Joe Fleming;Nancÿ;;;;;;;;
;ÿondoe;Grace;;;;;;;;
;Hambröck;Betseÿ;;;;;;;;
;John Catherinÿ;Betseÿ Little;;;;;;;;
;Thomas;Joanÿ;;;;;;;;
;Martin;Bettÿ;;;;;;;;
;36;Peggy Fox;;;;;;;;
;✓;34;;;;;;Total List of Negroes on the Estate 152;;
;;✓;;;;;;George Wiebeling;;
;;;;;;;;for 1 MeyrLinda;;
;;;;;;;;;Mænd52;
;;;;;;;;;Drenge 21;
;;;;;;;;;73;
;;;;;;;;;Qvinde. 53;
;;;;;;;;;Piger 23 78;
;;;;;;;;;149;
;;;;;;;;;Födte 1/2;
;;;;;;;;;Döde 3/3.;
