;;;;;;;;;;;;;;
List of slaves on Cane Valley Estate N° 27 West End Quarter Containing 150 Acres of Land;;;;;;;;;;;;;;
1.799;Field Negros;;half Growen;;Children;;Trades;House Negrós;;Births;;Deaths;;New Negrós
;Male;Female;Male;Female;Male;Female;Men;Male;Female;Male;Female;Male;Female;Purchased
;;;;;;;;;;;;;;in July 1799
John Garden, Native North Aritown - Lucretia Gordon native St. Croix;Adam;Batly of;Andrew;Mary;Martin;Madland;York;Delap;Sophy;William;Polly;Robert;0;Male
James Jachson native St. Croix - Anne Virnee Native St. Croix;Alexander;Celia;Cato;Anna M;Franke;Leaishia;Will;Jassery;Harriet;Benjamine;Nanncey;;;Billy
;Britain;6;Dick;Jeanney;Argile;Marthe;Conocers;William;Jone;;;;;Joseph
;Dublin;Cuba;Jurrturne;Sally;Francès;Kato;Daniel;Peter;Downs;;;;;Timmouth
;Barby;Anna R.;Cudjeo;Catrinah;Dichy;Margarite;Kingsail;;Minervea;;;;;3 Males
;Glasgow;Jeannhy;Crann;Mary Louise;Dicey;Adlane;;;Elizabeth;;;;;Female
;Joe;Jane;John;Martilla;Abraham;Sophia;;;Sue V.;;;;;Carolinee
;Jack;Jenny. V.;Sam. M.;Mary Ann V.;Christian;Nancey;;;Jenny. M;;;;;Kitty
;Kent;Jenny;Scipio;Rose;Frederick;Cathrina;;;Clarissa;;;;;Johanna V
;Philadelphia;Juliet;Harry;Nanne;George;Lucretia;;;;;;;;3 females
;Pompey;Lorinda;Jinnis;Catto;Edward;Lucey;;;;;;;;
;Phillip;Mary ann;Johannes;Leiuisa;;Holina;;;;;;;;
;Sarac;Olive;;Susanna;;;;;;;;;;
;M Tom;Paulina;;;;;;;;;;;;
;C Tom;Penelopie;;;;;;;;;;;;
;Toney;Quashiba;;;;;;;;;;;;
;Jacob;Sally;;;;;;;;;;;;
;Johnno;Soohy;;;;;;;;;;;;
;Rutland;Rebecca;;;;;;;;;;;;
;Sam;Leah;;;;;;;;;;;;
;Quashy;Dora;;;;;;;;;;;;
;Podro;Sarah;;;;;;;;;;;;
;Jamie;Rose;;;;;;;;;;;;
;;Hannah;;;;;;;;;;;;
;;Dorothy;;;;;;;;;;;;
;;Franky;;;;;;;;;;;;
;;Amba;;;;;;;;;;;;
;;Jibba;;;;;;;;;;;;
;;Henrietta V.;;;;;;;;;;;;
;;Saly. V.;10;13;11;12;5;4;9;2;2;1;0;6
;;Moll;;;;;;Mænd 32.;;;;;;
;;;;;;;;Drenge... 12.;;;;;;
;;;;;;;;ditto... 11 55;;;;;;
;;;;;;;;Qvinder. 39;;;;;;
;;;;;;;;Piger 25;;;;;;
;;;;;;;;64;;;;;;
;;;;;;;;119;;;;;;
;;;;;;;;Föd 2/2;;;;;;
;;;;;;;;Bossaler 3/3;;;;;;
;;;;;;;;död 2/0;;;;;;
;23.;30;St. Croix 13th December 1799 To the number and quality of Slaves and quantity of Land;;;;;;;;;;;
;;;to the best of my knowledge- I do hereby testify to be just-John Gorden;;;;;;;;;;;
