A List of White Inhabitants and Negroes Residing on Rattan & Bellindere Estate N 13 & 14 Queens Quarter;;;;;;;;;;;;;;;
The property of George Aitkin Esquire - December the 10th 1799;;;;;;;;;;;;;;;
White People;N°;Negroe Men;N°;Men;N°;Women;N°;Little boys;N°;Little Girls;;N°;Males Bought;N°;Females Born
Andw Muir;1 Andrew;;40 Pero;;21 Frankey;;1 Benjamin;;1 Abigal;;;1 Daniel;;1 Rebecca;
David Reid;2 Abraham;;41 Pollydore;;22 Flora;;2 Bob;;2 Annet;;;;;2 Cathrine;
;3 Athol;;42 Pollydore;;23 Hannah;;3 Cuffee;;3 Barba;;;;;3 Susanna;
;04-apr;;43 Patien;;24 Harriot;;4 Cornelius;;4 Charlot;;;;;;
;5 Africa;;44 Quamina;;25 Jubba;;5 Cornelius;;5 Charlot;;;;;;
;6 Buck;;45 Quan;;26 Juddy;;6 Hendrick;;6 Comill;;;;;;
;7 Benjan;;46 Rowland;;27 Juno;;7 Harry;;7 Carritta;;;;;;
;8 Carle;;47 Samuel;;28 Juno;;8 Jack ;;8 Dianna;;;;;;
;9 Calelina;;48 Snapper;;29 Keatty old;;9 Johnney;;9 Elizabeth;;;;;;
;10 Ceaser;;49 Thomas;;30 Keatty;;10 Johannes;;10 Ester;;;;;;
;11 Coomy;;50 Toney;;31 Keatty;;11 Johannes;;11 Ettamont;;;;;;
;12 Cudjoe;;51 Toney;;32 Leah;;12 Jonathan;;12 Fanny;;;;;;
;13 Cuffee cooper;;52 Typho;;33 Lucia;;13 Jaswaa;;13 Hannah;;;;;;
;14 Cuffer Stiller;;53 Willhalem;;34 Lydia;;14 Isaac;;14 Jenney;;;;;;
;15 Cuffer;;54 William;;35 Lucretia;;15 Martin;;13 Johannah;;;;;;
;16 Diamond;;55 Frederick;;36 Louisa Mulatto;;16 Shimon;;16 Marria;;;;;;
;17 David;;56 Pero. yellow;;37 Louisa Black;;17 Simon;;17 Mary;;;;;;
;18 Fatherman;;Women;;38 Mary;;18 Toncy;;18 Vancey;;;;;;
;19 Harry;;1 Antonetta;;39 Mary;;;;19 Phebey;;;;;;
;20 Humphrey;;2 Blackey;;40 Minchey;;;;20 Polly Mutay;;;;;;
;21 James Cooper;;3 Bella;;41 Margertha;;;;21 Sarah;;;;;;
;22 James;;4 Betty Gin;;42 Marriah;;;;22 Susanna;;;;;;
;23 Jack Smith;;5 Cabbia;;43 Mimba;;;;;;;;;;
;24 Jack Caifes;;6 Carritta;;44 Nancey Mulath;;;;;;;;;;
;25 Jack Long;;7 Catto;;45 Nanney;;;;;;;;;;
;26 Jacob;;8 Clarisa;;46 Nanney;;;;;;;;;;
;27 Joe Mason;;9 Cleoapata;;47 Nanney;;;;;;;;;;
;28 Joe;;sa Catherinchey;;48 Nelley;;;;;;;;;;
;29 John Mason;;11 Catterinna;;49 Omar old.;;;;;;;;;;
;30 John Phillis;;12 Cumba;;50 Omar;;;;;;;;;;
;31 John Phellip;;13 Christianna;;51 Philles;;;;;;;;;;
;32 Kay;;14 Dorthea;;52 Phillis;;;;;;;;;;
;33 Monday;;15 Dorthea;;53 Penney;;;;;;;;;;
;34 Moses;;16 Emelia;;54 Penney;;;;;;;;;;
;35 Neekey;;17 Eva;;55 Pennelopie;;;;;;;;;;
;36 Peter Capt;;18 Elisabeth;;56 Ratchel;;;;;;;;;;
;37 Peter;;19 Fanny;;57 Ritta;;;;;;;;;;
;38 Pedro;;20 Ferroncy;;58 Rose;;;;;;;;;;
;39 Pero;;;;59 Roginna;;;;;;;;;;
;;;;;60 Sally;;;;;;;;;;
;;;;;61 Sarah;;;;;;;;;;
;;;;;6,2 Sanckey;;;;;;;;;;
;;;;;63 Selleday;;;;;;;;;;
;;;;;64 Jenney;;;;;;;Died this year;;;
;;;;;65 Violet.;;;;;;;1 Billy;;;
;;;;;;;;;;;;2 Michael;;;
;;;;;;;Mænd 56;;;;Negroe Men in all...56;;;;
;;;;;;;Drenge - 18;;;;Ditto Women in all 65;;;;
;;;;;;;74;;;;little Boys....18;;;;
;;;;;;;Qvinder - 65.;;;;Likli Girls......22;;;;
;;;;;;;Piger 22. 87;;;;Born this year.... 4;;;;
;;;;;;;161;;;;Total alive..165;;;;
;;;;;;;föd 0/3;;;;Died this year 2;;;;
;;;;;;;dod 2/0;;;;The above is a true statement;;;;
;;;;;;;;;;;Andrew Muir;;;;
