Annual List of white inhabitants residing on Glynn Estate. 7. Hugh Morris. 2d Thomas Gibbes Brotherson.;;;;;;;
List of slaves the property of rented by said Estate N°. 9 In Queens Quarter belonging to the heirs of James Johnston Esquire Dot;;;;;;;
Field Men. 35;;Field Women. 42;;Men Boys. 8.;Children 13;Superanoated 6.;
1 Quaco;29. Julius.;1. Anna.;22. Louisa;1. Champagne.;1. Johannis;1. Scipio.;
2. Henderich;20. Joe.;2. Baky House.;23 Margo.;2 Andrew;2 John.;2. Martha.;
3. Abraham.;23. Kinsail;3. Baky Black;24 Mary Rose.;3. David;3. Anna Maria;3. Kitty Friedrich;
4 Adam;22 Lame.;4 Betty.;25 Mimba;4 Harry;7. Boys;4. Lucritia;
5. Alexander.;25. Manuel.;5. Benina;26 Molly;5 Stephan;4. Dango;5. Fanny.;
6 Andreas;24 Martin.;6. Bess.;27 Nanny;6 Thomas;6 Girls;6. Jeann.;
7. Benn.;25 noble;7 Charlotte.;28 Nancy;7 William;5. Barbara.;Births. 2.;
8. Casar;26 Paddy.;8 Carolina;29 Nelly;8. George;6. Dorathia;1 Loadwick March 24.;
9. Christian;7 Petter.;9 Catharinah;30 Peggy.;Boys 6.;7 Domingo;2 Charlotte September 17th.;
10. Cudjoe.;23 Quamina;10 Clarissal;31. Present.;1. Christian Born.;8. Easop.;Deaths. 5.;
11. Dick.;29 Saul;11 Clarinda.;32 Quashibal;2. Christian SoSo;9. Cornelius;1. Plato supposed to be dead;
12. Godfrey.;30 Symon;12 Domingo;33. Rosalinda ;5 Liatia;10. Juddy.;2. Mary Angelick 12 october 1799;
13 George.;13. Saturday.;15. Daphinis;34 Rose.;4. Jacob.;11. Godfray.;3 Martha 3 November;
14. Jackie.;32 Jasper;24 Dide;35 Sarah.;5. Carol.;12. Sophia;Mis Mloventy 5;
15 John;30. Toby.;15. Dianna.;36 Salonie;6. Alexander;23 Jurgon;1 Charlotte;
16 Johanies 75 ig. ;34 Tom;16 Eva;37 Sowanol;Girls. 7.;House Slaves;2. Cornelius Carpenter;
17 Johnie Little;35. Will.;27 Fredericka.;30. Sally.;8. Maria;1. Mary 6;3. Isac Boy;
18  Jamies;;28. Helena;39. Silvia;2 Elisabeth;2. Kitty hastr.;4. Martin Boy;
;;29 Jeany;40 Kitty;3. Belinda.;3. Polly.;5. Surgon Mason;
;;28. Juddy.;43. Frisea.;4. Venus.;4 Anaway;;
;;22. Joan.;42 Vénus;5. Margaret.;5 Nancey;;
;;;;6. Enemay;1. Casar House Negro;;
;;;;7. Christiana;Tradsmen 6;;
;;;;;1, Sander;;
;;;;;2 Cotton.;;
;;;;;3. Jack.;;
;;;;;4. Day.;;
;;;;;5. Peter;Recapitulation;
;;;;;6. Ferderick;Field Men.......55.;
;;;;;;Field women 42;
;;;;;;Men Boys 3;
;;;;;;Boys 6;
;;;;;;Girls 7;
;;;;;;Children....13.;
;;;;;;House Slaves 6.;
;;;;;;Tradesmen 6.;
November 27 - 1799 - Bought a negroe hamide;;;;;;Superanoated 6;
John the property of Hugh Morris;;;;Mænd 44;;Birthes......2.;
;;;;drenge — 14.;;133;
;;;;ditto 7 168;;;
;;;;Qvinder - 51 -;;;
;;;;Piger..13.64;;;
;;;;129;;;
;;;;Föd 1/1;;;
Hugh Morris;;Thadne Nac Slevey Z;;Död ½;;;
1 dreng;;4 mænd;;;;;
;;1. Qvinde;;;;;
