Estate Strawberry Hill in Queen's Quarter;;;;;;;;;;;;;;;;;;;;;;;;;
;;;Totat Number;;Born.;;Died;;New Negs. bot sine;;Number of Ne;;;;;;;;;;;;;;
;;;of Negroes;;;;;;1st July...;;free from tax;;;;;;;;;;;;;;
;;;Males;Females;Boys;Girls;Males;Females;Males;Females;Males;Fémales;;;;;;;;;;;;;
;;;77;58;George;Rebecca;Punck;Hannah;;;;;;;;;;;;;;;;;
;;;;;Simon;1;1;1;;;;;;;;;;;;;;;;;
;;;;;James;;;;;;;;;;;;;;;;;;;;
;;;;;3;;;;;;;;Recapitulation;;;;;;;;;;;;
;;;;;;;;;;;;;Field Negroes 125;;;;;;;;;;;;
;;;;;;;;;;;;;Tradesmen 8;;;;;;;;;;;;
;;;;;;;;;;;;;House Negroes 2;;;;;;;;;;;;
;;;;;;;;;;;;;Total 135;;;;;;;;;;;;
Saint Crois 10th December 1799;;;;;;;Free from Saxes...;;;;;;;;;;;;;;;;;;
attested by William Lang;;;;;;;Born,... . 4;;;;;;;;;;;;;;;;;;
;;;;;;;Bought;;;;;;;;;;;;;;;;;;
;;;;;;;Taxable. 131.-;;;;;;;;;;;;;;;;;;
