A list of White Persons & Slaves on Work & Rest Estate Queens Quater N 37 the property of John Heyliger = Abz Esquire;;;;;;;;;;;;;;
White Persons;Able Men;Able Women;Half Grown;Hall-Grown;Under 10 Year;;..;Maqueroons;;Born this Year;;Died this Year;;
;;;Boys;Girls;Girls;;TradesMen;Males;;Males;;Males;;
;;;;;Boys;;;Females;;Females;;Females;;
B. Reynolds;1 Usippe;1 Margo;1 Stepanes;1 Madane;1 Moses;1 Madlane;1 Titus;1 Baron;1 Aurora;1 Cornelia;1 Sophy;1 Thomas;1 Maryetto;
Grace Reynolds;2 Tomboy;2 Phibba;2 Gutliff;2 Eva;2 Quashey;2 Toloney;2 Jasper;2 Ceasar;2  Aspacia;2 Mathabus;2 Sarah;2 David;2 Eva;
Rachel S. Reynolds;3 Isaac;3 Priscilla;3 Martin;3 Philpima;B. Abraham;3 Ester;3 Andrias;3 Cato;3 Domingo;;3 Louisa;;3 Rebecca;
Sarah A Reynolds;4 Spain;4 Sarah;4 Jacob;4 Catharinchy;4 Powlus;4 Wilhelmina;4 Gabriel;4 Guanchy;4 Gago;;4 Charlotte;;;
Grace Reynolds;5 Joe;5 Juliana;5 Funn;5 cuba;5 Gutliff;5 Rosinna;5 Chicho;5 Guanchy;5 Hénia;;;;;
Jane Reynolds;6 Fablima;6 Pandora;6 Joshua;6 Caretta;6 Daniel;6 Maria;6 Petress;6 Jack M;6 Justinia;;;;;
William Reynolds;7 Sivia;7 Caroline;7 Christian;7 Anna;7 Jasper;7 Anchiatta;7 Wanmingo;7 Melanda;7 Lancy;;;;;
John Reynolds;8 Farmore;8 Mary C.;8 David;8 Nanny;8 Lucas;;8 Sybres;8 Peter Haynes;8 Liretta;;;;;
John Kinncy;9 Cholk;9 Debora;9 Adam;9 Charlotte;9 Solomon;;9 Pontack;;9 Quasheba;;;;;
William Bial;10 Mingo ;10 Luna;10 John;10 Cecilia;10 Johan;;10 Johannas;;10 Rosinda;;;;;
;11 Plato;11 Mary r.;11 Thomas;11 Elinora;l1 Martin;;11 Tackey;; 11 Mary B;;;;;
;12 Jack Boy;12 Metta;12 Christian;12 Wilhelmina;12 Barnees;;12 Carrol;;12 Hanah L;;;;;
;13 Burgoin;13 Nelly;13 Amos;;13 Gabriel;;13 Gallanchy;;13 Diana;;;;;
;14 jason;14 Kitty;;;14 Abraham;;14 Jacob;;14 Jawboll M;;;;;
;15 Peter;15 Betty;;;15 Peter;;15 Peter;;15 Justiana;;;;;
;16 Sampson;16 L. Present;;;;;16 Ceasar;;;;;;;
;17 Harry;17 Catchey;;;;;17 Yanchy;;;;;;;
;18 Moses;18 Susanna;;;;;;;;;;;;
;19 Lee;19 Betto;;;;;;;;;;;;
;20 Putnam;20 Babet;;;;;;;;;;;;
;21 John;21 Suchey;;;;;;;;;;;;
;22 Tomba;22 Byo;;;;;;;;;;;;
;23 Roder;23 Martilda;;;;;;;;;;;;
;24 Dominick;24 Joanna;;;;;;;;;;;;
;25 Bullow;25 Theodora;;;;;;;;;;;;
;26 Powlas;26 Susanna;;;;;;;;;;;;
;27 Toney;27 Tyer;;;;;;;;;;;;
;28 Quashey;28 Sophy;;;;;;;;;;;;
;29 Manus;29 Marichy;;;;;;;;;;;;
;30 Yanchy;30 Niyme  joe;;;;;;;;;;;;
;31 Frederick;31 Cecilia;;;;;;;;;;;;
;32 Tomboy Lt;32 Diana;;;;;;;;;;;;
;33 Samuel;33 Present;;;;;;;;;;;;
;34 Liffy;4 Neime Gusta;;;;;;;;;;;;
;35 Nahaniel;35 Martha;;;;;;;;;;;;
;36 Valentine;36 Amelia;;;;;;;;;;;;
;37 Sampson;37 Helina;;;;;;;;;;;;
;38 Simmon;38 Sabina;;;;;;;;;;;;
;39 Petruss;39 Wilhelma;;;;;;;;;;;;
;40 Miles;40 Betty w;;;;;;;;;;;;
;41 Matamba;;;;;;;;;;;;;
;42 Cicero;;;;;;;;;;;;;
;43 Cudjoe;;;;;;;;;;;;;
;44 Scipio;;;;;;;;;;;;;
;45 Natty;;;;;;;;;;;;;
;46 Hamlet;;;;;;;;;;;;;
;47 Alphonso;;;;;;;;;;;;;
;48 James;;;;;;;;;;;;;
;49 Matthae;;;;;;;;;;;;;
;50 Luke;;;;;;;;;;;;;
;51 Hindrich;;;;;;;;;;;;;
;52 Mark;;;;;;;;;;;;;
;53 Stiphen;;;;;;;;Recapitulation;;;;;
;;;;;;;;;Able Men. 53;;;;;
;;;;;;;;;Trades Men 17;;;;;
;;;;;;;;;Ralf Grown Boye 13;;;;;
;;;;;;;;;Under 10 years Ditto 15;;;;;
;;;;;;;;;Maqueroons 8;;;;;
;;;;;;;;;100;;;;;
;;;;;;;;;Able women 40;;;;;
;;;;;;;;;Half Grown Girls 12;;;;;
;;;;;;;;;Ander 10 years Ditto 7;;;;;
;;;;;;;;;Maqueroons 15;;;;;
;;;;;;;;;180;;;;;
;;;;;;;;;Born this Year;;;;;
;;;;;;;;;Boy Children 2;;;;;
;;;;;;;;;Girl Ditto 4;;;;;
;;;;;;;;;Total Number 186 Slaves;;;;;
;;;;;;;;;Which I do Certify to be Just December 10th 1799.;;;;;
;;;;;;;;;Benj. Reynords;;;;;
