A list of White Persons reading on and Slaves beloning;;;;;;;;
to Cane Garden Estate the property of Jasper Parson;;;;;;;;
Esqr Decr 1799;;;;;;;;
White;Men;Women;Boys;Girls;Negros born;Negros died;;
Persons;;;;;this year;this year;;
Manager;Adam;Arget;Andrew;Abigail;Abraham;Isac;;
J. Hows;Aamemron;April;Davey;Betty;John;Paris;;
overseer;Aidor;Abigail;Edward;Betsy;Michial;Joney;;
A. J. King;Bristol;Catharina;Frances;Bridget;;Dianna;;
;Ben;Celia;Frederick;Charlotte;;;;
;Bob;Cottine;George;Catherine;;;;
;Cudjoe;Doll;George;Elizabeth;;;;
;Cudjoe Grete;Emily;Harry;Madlaine;;;;
;??????????;Frankey;James;Nelly;;;;
;Cuffu;Grace;Ned;Nancy;;;;
;Curtis;Jenny;Paul;Peggy;;;;
;Cirus;Joane;Valentine;Penelope;;;;
;Champainge;Juletta;William;Quashaba;;;;
;Dammid;Janton;Joe;;;;;
;Daniel;Judy;Abraham;;;;;
;Frank;Isabella;;;;;;
;Ferdinand;Katy;;;;;;
;Hood;Kity Minna;;;;;;
;Hock;Laay;;;;;;
;Jupiten;Minba;;;;;;
;Jacob;Margeret;;;;;;
;Jack;Marianne;;;;;;
;Jemmy;Mary;;;;;;
;John;Mnimio;;;;;;
;Lisbon;Nanno;;;;;;
;Mathias;Nancy;;;;;;
;Manuel;Phillis;;;;;;
;Marcellus;Pemelia;;;;;;
;Mecepus;Penny;;;;;;
;Milo;Rachcal,;;;;;;
;Midock;Rose;;;;;;
;Menelause;Sarah;;;;;;
;Ned;Susannah;;;;;;
;Prince;Susannah c;;;;;;
;Peter;Sue;;;;;;
;Peter Mason;Venus;;;;;;
;Punch;Sally;;;;;;
;Pan;;;;;;;
;Quacoeo;;;;;;;
;Quamina;;;;;;;
;Quemina B;;;;;;;
;Rodney;;;;;;;
;Simon;;;;;;;
;Scipio;;;;;;;
;Toby;;;;;;;
;Jone;;;;;;;
;Jokey;;;;;;;
;Willt;;;;;;;
;Wolf;;;Men 50.;;;;
;Whiskey;;;Women 37;;;;
;;;;Boys 15;;;;
;;;;Girls 13;;;;
;;;;Born  this year 3;;;;
;;;;Total 101;;;;
;;;;Last years list 117;;;;
;;;;Died this year 4;;;;
;;;;113;;;;
;;;;Born this year 2;;;;
;;;;116;;;;
;;;;Males 66;;;;
;;;;Females 50;;;;
;;;;Jasper Parson;;;;
;;;;tilhörende 1 Mand.;;;;
;;;mænd.........50;;;;;
;;;Drenge 6;;;;;
;;;Ditto 2  65;;;;;
;;;Qvinder.... 37;;;;;
;;;Piger 13 50;;;;;
;;;115;;;;;
;;;Födte... 2/6;;;;;
;;;Döde 3/1;;;;;
