;;;;;;;;;;;;;;;;;;;;;;
Annual List;;;;;;;;;;;;;;;;;;;;;;
Of White Inhabitants & Negroes Residing on the Estate Concordia in Queen's Quarter the Propy. of Samuel Foster;;;;;;;;;;;;;;;;;;;;;;
White;Capable;;Half Grown;;Childering;;Trades Men;;House Negroes;;;;Total Number;;Born;;Died.;;New Negroes;;Number of Negroes;
Persons and;;;;;under 10 years;;;;;;;;of Negroes;;;;;;bot Since 1. july;;free from Tax;
their Oc=;;;;;;;;;;;;;;;;;;;;;;
;Men;Womn.;Boys;Girls;Boys;Girls;Men;Boys;Men;Womn;Boys;Girls;Males;Females;Boy;Girls;Males;Females;Males;Females;Males;Females
Josph P;Creol Tom;Angelick;Sam;Hesther;L. PJhn;Eliza;Toney;Richard;;Loisa;L. Joe;;;;;Johanna;Pob;Nancey;;;;
Maillard;M. John;Adrianna; Copenhn;Abigal;L. Christ;Catherina;Titus;Jno Fredel;;B. E. Bess;;;;;;Sublica;;;;;;
Manager;Cupid;Betty Cook;Isaac;Grace;L:Cudjo;Catherine;Toby;Peter Oxholm.;;;;;;;;;;;;;;
Children;Harry;Bettypishe; Lucas;Polly;Long ford;Tirmey;sampsn;;;;;;;;;;;;;;;
2 Boys;Frank;Bess;George;Phebea;Riba;L. Flora;Damon;;;;;;;;;;;;;;;
1 Girl;Japher;Cotto;Ferris;Domingo;Piter;Anna Mary;King;;;;;;;;;;;;;;;
Jno Conner;Daniel;Comanche;Obediah;Cloe;Porey;;Pohmy;;;;;;;;;;;;;;;
Overseer;Dickey;Dianna;Amos;Besheba;Tobias;;Saturday;;;;;;;;;;;;;;;
Willn Knn;Quacee;Dra Hugho;Jno. MaN.;L. Mary;;;Garrick;;;;;;;;;;;;;;;
Coppersmith;Quamin;Dra. Maria;Tycho;Madlina;;;Primus;;;;;;;;;;;;;;;
;Paulus;Mary;Manding;Johanna;;;London;;;;;;;;;;;;;;;
;Lycargos;Moll;;Frances;;;Briston;;;;;;;;;;;;;;;
;Romeo;Pamilla;;L. Ann;;;Valentine;;;;;;;;;;;;;;;
;Samba;Patience;;Ruthey;;;Hendrich;;;;;;;;;;;;;;;
;William;Peggy;;Anna Maria;;;Frederick;;;;;;;;;;;;;;;
;Alsop;Beykey;;susanna;;;Pashua;;;;;;;;;;;;;;;
;Apollo;Balinda;;L. Peggy.;;;Addam;;;;;;;;;;;;;;;
;Champrn;Bella;;;;;Frederick;;;;;;;;;;;;;;;
;Michael;Catrinhe;;;;;Ferdinand;;;;;;;;;;;;;;;
;Peso;Nanny;;;;;L. Mingo;;;;;;;;;;;;;;;
;Bob;Charlotte;;;;;;;;;;;;;;;;;;;;
;L.Sampsn;Rosetta;;;;;;;;;;;;;;;;;;;;
;L. Jimmy;Paseen;;;;;;;;;;;;;;;;;;;;
;Cudjo;Fanney;;;;;;;;;;;;;;;;;;;;
;Jim;Anna;;;;;;;;;;;;;;;;;;;;
;Chamoun;L: Bett;;;;;;;;;;;;;;;;;;;;
;Hector;Leah;;;;;;;;;;"Mænd..... "" 66";;;;;;;;;;
;Chance;Eva;;;;;;;;;;Drenge... 15;;;;;;;;;;
;;;;;;;;;;;;"dito "" 8 89";;;;;;;;;;
;;;;;;;;;;;;"Qvinder "" 59";;;;;;;;;;
;;;;;;;;;;;;Piger 23 82;;;;;;;;;;
;;;;;;;;;;;;171;;;;;;;;;;
;;;;;;;;;;;;föd 0/2;;;;;;;;;;
;;;;;;;;;;;;död 2/4;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;28;28;11;17;8.;6;20;3;;2;1;;;;"""";2;1;1;;;"""";
;;;;;;;;;;;;;;;;;;;;;;
