List of White Person's;List of Negroes Belonging to John Pawe;;;;;;;
;on the Estate Industry;;;;;;;
;1799;;;;;;;
John Pawe;Men;Women;Boys;Girls;;;;
Elizebeth Pawe head of Family;;;;;;;;
William H Powe;;;;;;;;
Edward S Powe;;;;;;;;
Sons;;;;;;;;
Daniel McPowe;;;;;;;;
Isaac H Pawe;;;;;;;;
Edith E Powe;;;;;;;;
Mary Pawe;;;;;;;;
Daughters;;;;;;;;
Ann Powe;1 Sam;19 Cathrinchy;37 Petirson 12.;45 Peggy. under 12 Years;;;;
;2 Quashey;20 Present;38 Sambo;46 Cristianna;;;;
;3 Timote;21 Sophia;39 Sandy;47 Elizabeth child;;;;
;4 Joseph;22 Frédérica;40 Abraham;48 Margaret Born nov;;;;
;5 Sylvestes;23 Lydia;41 Sambo;Childre;;;;
;6 Emanuel;24 Sally;42 Charles;St. Croix Dec 21st;;;;
;7 Johannes;25 Minerva;43 Benjamin;John Pawe;;;;
;8 Samwell;26 Bessy;44 James;;;;;
;9 Jacob;27 Catharine;;;;;;
;10 Christian;28 Polly;;;;;;
;11 Solomon;29 Eboy;;;;;;
;12 William;30 Kitty;;;;;;
;13-aug;31 Abtta;;;;;;
;14 Cudjo;32 Antonetta;;;;;;
;15 Ceahry;33 Luisa;;;;;;
;16 Thomas;34 Amba;;;;;;
Mænd 18;17 Quamy;35 Matilda;;;;;;
Drenge. 1;18 Botto;36 Esther;;;;;;
Ditto 7;;;;;;;;
26;;;;;;;;
Qvinde 18;;;;;;;;
Piger. 3  21;;;;;;;;
47;;;;;;;;
Födte. 0/1;;;;;;;;
Död.. 5/3;;;;;;;;
Frank;;;;;;;;
Polidore;;;;;;;;
Sampon;;;;;;;;
Cork;;;;;;;;
Paris;;;;;;;;
Helina;;;;;;;;
Margant Dead;;;;;;;;
Dead Mary;;;;;;;;
