List;;;;
Of Negroes on the half Estate Mr. Retreat Belong;;;;
ing to Jonathan Harragrin Situated in E End quarter;;;;
Men.;Women;Boys;Gils;
Jacob;Marriah;William;None;
Nimrod;Pressant;;;
Orndfne;Hanahritta;;;
Benjamin;Catey;;;
Joseph;Carroline;;;
Ticeshang;Cleopatra;;;
Chamont;Candis;;;
Sbilard;Sidny;;;
Moses;Isseebella;Recapitulation;;
Aron;;Men;Womin;Boy
;;8;9;1 -
Be it Remembred that Milard was Sold Parly in;;;;
this year & Chamont dyd in the month of June;;;;
Jon Harragrin;;;;
St. Croix;;;;
Decr. 21th. 1799;;;;
