A list of land and Negroes belonging to Thomas Carty East end Quarter LB;;;;;;
25 Acres of land;Able negroes;;Macaroon;;Children under 12 years.;
White person living on the Estate;Men;Women;Men;Women;Boys;Girls
Children;London;Mimba;Dublin;Susanah;Dublin;Ceresiner
Thomas Carty;Jack;Charlote;1;1;Dick;Susanah
Elizabeth;Mingo;Penny;;;Sam;Jiller
Thomas;Charles;Sally;;;Phillip;Elvira
Sarah;Abram;Nancy;;;4;Clementeriah
Mary;Ben;Clarina;;;;5
Rebecca;France;Cate;;;;
Joseph;Sam;7;;;;
Anna Deborah;Sampson;;;;;
William;Julias;;;;;
;Billy;;;;;
;George;;;;;
;Jim;;;;;
;13;;Total number of 31 Slaves which is Just;;;
;;;St Croix December 21st 1799.;;;
;;;Thomas Carty;;;
