A list of White's & negroes Residing on the Estate Slob in East end quarter Letter;;;;;
B n°. 28 1/2 29. part 30 & 37 the property of Jno Richardsen the 21st day December 1799;;;;;
Whites;Men;Women;Boys;Girls;
Jno Richardson;Ginmey;Pegg;Addom;Ginney;Men - 22
Ann Richardson;George;Preasent;Shandy;1;Women - 26
Children;March;Phibba;Castillo;;Boys - 4
Rebecca;Archibald;Susanah;Dick;;Girls. —
Elizabeth;Sam;Margret;Dimies, born;;Total 55 number of slave
Mary;Mitchell;Margo;this year;;the above List is Just given
John;Sambo;Rosey;5;;this 21st day of Decr. 1799
Sarah;Hurriçane;Ellenorah;;;Jno Richardson
;Jackboy;Desdimond;;;
;Moiander;Jings;;;
;Frederick;Sweeth;;;
;Peter;Lucy;;;
;Casar;Trace;;;
;Sampson;Leah;;;
;Dublin;Clarrisa;;;
;Joe;Mahriah;;;
;Neptune;Caroline;;;
;Tom;Mominiah;;;
;Winter;Dinah;;;
;Pollydore;Phillis;;;
;Gim dead;Catharina;;;
;Exchange;Nanncy;;;
;Cesar 22;Nancy;;;
;;Marichey 26;;;
;;Caster;;;
;;Cate;;;
;;Pennerg Penney, dead;;Mænd. 22;
;;;;Drenge. 4. 26.;
;;;;Qvinde 26.;
;;;;Piger..1;
;;;;27;
;;;;53;
;;;;Födte. 1/0;
;;;;"Döde"" 1/1";
