Anual List of White Inhabitants & Negroes in Hermon hill Estate situated in Company's Quarter  N 10;;;;;;;;;;;;;;;
belonging to Mistress M. Rengger;;;;;;;;;;;;;;;
White Inhabitat;Able Negroes;;Half Grown;;Children under;;Tradesmen;;House Negroes;;Invalids;;New negroes bout;;
and their;;;;;12 years of Age;;;;;;;;Since 1th jany 1799;;
Occupation;;;;;;;;;;;;;;;
Misss. Rengger;;;;;;;;;;;;;;;
Miss Renqge;;;;;;;;;;;;;;;
Chat. Bannerman;Men;Women;Boys;Girls;Boys;Girls;Men;Boys;Men.;Women;Men;Women;Boys;Girls;
Manager;Arthur;Anilla;Anthony;Basheba;Adam;Esther;Andreas;James;Adam;Biddy;Adam;Betty;Abraham;Julia;
Willm. Linday;Battier;Bella;Billy;Betsey;Christian;Henirette;Cudjo;1.;1;Clarissa;Antigua;Dido;Andreas;Martha;
Overseer;Belfast;Chloe;Cudjo;Eva;Daniel;Louisa;Peter;;;Elizabeth;Chance;Fanny;Anthon;2;
;Cato;Cillia;Hanibal;Francets;Francis;Matilda;Juite;;;Judy;César;Frankey;Billy;;
;Champane;Coto;Jerry;Hetera;Jakobus;4;Wile;;;Margret;Hope;Naney;Charles;;
;Christian;Dirra;Joe;Mary;James;;Valentine;;;Martha;Teffrey;Phaba;Charles;;
;Cupidare;Dianna;Isac;6;John;;Gift;;;Maryann;Primis;Phillis;Danie;;
;Douglas;Hanah;Michael;;Peter;;7;;;7;Billy;Peggy;David;;
;Dublin;Lewis;Natty;;Philippus;;;;;;Jowen hill;Rachel;Frederie;;
;Hamilton;Luinda;Nathaniel;;Thomas;;;;;;9;9;George;;
;Hector;Lidy;Peter;;10;;;;;;;;Tact;;
;Harry;Mary;Telemaché;;;;;;;;;;Jauot;;
;Jay;Minkey;12;;;;;;;;;;John;;
;Jaccky;Nell;;;;;;;;;;;Jonah;;
;King;Nilly;;;;;;;;;;;Joseph;;
;Limerick;Piggy;;;;;;;;;;;Launier;;
;Liverpool;Pricilla;;;;;;;;;;;Lucurs;;
;Mathiesan;Pink;;;;;;;;;;;Stephan;;
;Milling;Phoba;;;;;;;;;;;Tom;;
;Mille;Polly;;;;;;;;;;;Edward;;
;Morris;Petronella;;;;;;;;;;;20;;
;Nixon;Quasheba;;;;;;;;;;;;;
;St Croix;Rosaliné;;;;;;;;;;;;;
;Stephney;Rosett;;;;;;;;;;;;;
;Tom;Sophy;;;;;;;;;;;;;
;Thomas;Shisba;;;;;;;;;;;;;
;Washing ton;26;;;;;;;;;;;;;
;27;;;;Males;Females;Males;Females;Mænd 44;;;;Recapitulation;;
;;;;;dead;dead;Born;Born;drenge 13;;;;Able Men. 27;;
;;;;;5;4;1;;ditto 26 83;;;;Able women 26;;
;;;;;Andreas;Juliet;Adam;;Qvinder 42;;;;Half Grown Boys..12,;;
;;;;;Jack;Lina;;;Piger 12 54 137;;;;"Half Grown ""Girls... 6";;
;;;;;Piam; Lucretia;;;Födt 1/0;;;;Boys under 12 yrs. 10;;
;;;;;Rodger;Molly;;;död 5/4;;;;Girls under 12 years 4;;
;;;;;Stephanus;;;;St Croix 9th december 1799;;;;Tradesmen 7;;
;;;;;;;;;Charles Bannerman;;;;Boys 1 ;;
;;;;;;;;;Total 141;;;;House Negreo men 1;;
;;;;;;;;;;;;;House Negroes Women 7;;
;;;;;;;;;;;;;Invalid Men...9;;
;;;;;;;;;;;;;Invalid Women 9;;
;;;;;;;;;;;;;New Negroes Bogt 20;;
;;;;;;;;;;;;;4 of whom are since dead;;
;;;;;;;;;;;;;New Negro Girls. 2;;
;;;;;;;;;;;;;Total 141;;
