;;;;;;;;;;;;;;
A list of White Inhabitants & Slaves on the Estate Beeston Hill belonging to Thomas Seal EIg. N. 6. Company quarter;;;;;;;;;;;;;;
White Inhabitans;Field;;Negroes;;Children;;Tradesmen;House Negroes;;;Births;;Deaths;
;Men Women;;Boys Girls;;Boys  Girls;;;Men Women;;;Males Females;;Men Women;
George Park;Ben;Belindan;Abu dan;Betsey;Cupid;Agnees;Peter;Harry;;Francy;Peter;0;Jack;Kitty
William Cather;Bob;Calia;Alexander;Frederica;James;Carietta;David;Sylvester;;Stacy;1;0;Luamy;May
;Cambrigde;Charlothe;Berace;Jean;Hendrich;Chrislians;2;2;;2;;;Robert;2
;Cato;Chloe;Charley;Kitty;Harry;Doll;;;;;;;Thomas;
;Edinburgh;Daphina;Carartin;Rebecca;Mathews;Elizabeth;;;;;;;4;
;Glasgow;Diana;Daniel;5;Ronadees;Lucia;;;;;;;;
;Jaccob;Dide;Saud Luck;;8;Judy;;;;;;;;
;John;Emily;Hannibal;;;Madaline;;;;;;;;
;Sander;Elsey;Peter head;;;Margaret;;;;;;;;
;London;Fanny;Samuel;;;Philisa;;;;;;;;
;Maesheael;Hora;Howhard;;;Sophia;;;;;;;;
;Pompey;Hannah;William;;;Saba;;;;;;;;
;STa Blug;Lubat;12;;;12;;;;;;;;
;Stephen;Lucretia;;;;;;;;;;;;
;Nathaniel;Leah;;;;;;;;;;;;
;Tobey;Lucy;;;;;;;;;;;;
;Tim;Maria;;;;;;;;;;;;
;Tom;Martha B;;;;;;;;;;;;
;Toney;Martha L;;;;;;;;;;;;
;19;Marthilla ;;;;;;;;;;;;
;;Nanny;;;;;;;;;;;;
;;Peggy;;;;;;;;;;;;
;;Phoby;;;;;;;;;;;;
;;Phillei;;;;;;;;;;;;
;;Present;;;;;;;;;;;;
;;Rachael;;;;;;;;;;;;
;;Sally;;;;;;;;;;;;
;;Sarag;;;;;;;;;;;;
;;Suerpy;;;;;;;Recapituliation;;;;;
;;29;;;;;;;Field Negroes Men 19;;;;;
;;;;;;;;;Ditto Wemen 29;;;;;
;;;;;;;;;Ditto Boys 12;;;;;
;;;;;;;;;Ditto Girls 5;;;;;
;;;;;;;;;Children Boys 6;;;;;
;;;;;;;;;Ditto girls 12;;;;;
;;;;;;;;;Tradesmen 2;;;;;
;;;;;;;;;House Negroes Men 2;;;;;
;;;;;;;;;Ditto Wemen 2;;;;;
;;;;;;;;;Births Males 1;;;;;
;;;;;;;;;Total go;;;;;
;;;;;;;;;The above list is just ;;;;;
;;;;Mænd 23;;;;;Thomas Seal;;;;;
;;;;Drenge 12;;;;;;;;;;
;;;;Ditto 6;;;;;;;;;;
;;;;41;;;;;;;;;;
;;;;Qvinder 31;;;;;;;;;;
;;;;Piger 17;;;;;;;;;;
;;;;48;;;;;;;;;;
;;;;Föd 1/0.;;;;;;;;;;
;;;;död ;;;;;;;;;;
;;;;döde 4/2;;;;;;;;;;
;;;;;;;;;;;;;;
