List of White Inhabitants, & Negroes on The Estate La Reine N° 20 in Kings Quarter The property of John Ryan Esquire;;;;;;;;;
;Capable;Capable;Capable;Half Growen; Children;Born;;Died;
White Persons;Men;Men;women;Girls under 10.;Girls;Males;Females;Males;Females
Peter Canvane;1. Abel;43 Christopher;31 Bella;1. Priscilla;1 Catherine;1. Charles;;1. Tom;1 Susannah
Peter Hatchett;2 alexander;44 Clement;32 Maria;2. Elisabeth;2 Salome;2 Richard;;2. abraham;2. Constance
Rebicca Hatchett;3. Bob;45 Elias;33. Maria;3. Kitty;3. Sarah;3. Gregorius;;3. Quamina;
Richard Hatchett;4. Casar;46 Fabian;34 Mary;4 Agnes;Invalids;;;4 Dick;
Daniel Griffin;5 Simeon;47 Giles;35 Hester;5. Tane;Min.;;;5. Toley;
;6 Christian;48 Gabriel;36 Adeline;6. Martha;1. Arwell;;;6. John;
;7. Michael;49 Gilbert;37. Agatha;7. alice;2. cupido;;;7 Billy;
;8. Chancé;50. Jerry;30 Abigail;8. Cécile;3 Gregorius;;;;
;9. David;51 Lebnard;39 Bridget;P. Nanny;4. L'Argent;;;;
;10. Dungo.;52 Stephen;40 Bonney;10 Rosamond.;5 Mathias;;;;
;11. Fortuna;52.;41 Beatrice;Tradesmen;6. Mingo.;;;;
;12 George;Women;42. Colia;1. Jago;7. Noel;;;;
;13. Joe;1. Antonetta;43. Clary;2 Jonathan;8. Providence;;;;
;14 Louis;2. Barbara;44. Diana;3. Samuel;9. Cork;;;;
;15. Patientia.;Bersheba;45 Damaris;4. Peter;10. Contant.;;;;
;16 Philip;4 Cassinda;46 Dennies;5 Quamina;11. Jack;;;;
;17 Pompey;5 Catherinchy;49. Emma;6 Quashy;Invalides;;;;
;18 Primus;6 Christina;48 Eleanore;7. Scipio;Women.;;;;
;19 Property;7 Christina;49 Emily;8. Wilhelm;1 Agnes;;;;
;20 Simpson;8. Chloe;50. Fanny;9. Adam Blue bay;2 Anna;;;;
;21 Solomon;9 Domingo;51. Isabel;10 Nickay;3 Quasheba;;;;
;22 Welcome;10. Elisabeth;52. Kate;11 John James;4. Juliana;;;;
;23. Antony;11 Elisabeth;53. Nancy;12 Mathias;5. Sophia;;;;
;24 Michael;12. Eva;54 Richel;13. Austen;;;;;
;25 nathaniel;13 Frederica;55. Rebecca;14. Alphonso;;;;;
;26 Francis;14 Hannah;56. Sally;15 Anselm;;;;;
;27 Friderick;15. Hannah;57 Ursula Sophy;16. Arnold;;;;;
;28 James;16. Jenny.;58;17 Daniel;;;;;
;9. Jonas;17. Louisa;Half grown Boys;18. Jeffrey;;;;;
;30 Martin;18 Maria;under 10.;19. Walty.;;;;;
;31 Gregory;19. Mary;1 Noel;20 William;;;;;
;32 Simson;20. Mary Ann;2 Johannes;Children boys;;;;;
;33 Adam;2e marianne;3. Henry;1. Joseph;;;;;
;34 Aaron;Myrtilla or Marta;4. Joshua;2. Jerry;;;;;
;35 Alfred;23 Omer;5 Thomas;3. Sam;;;;;
;36 Archibald;24 Penelope;6 Daniel;4 Mark;;;;;
;37. Alrick;25 Phoebe;7 Adam;5 Charles;;;;;
;38 ambrose;26. Rose;8 Cornelius;6. Zacharias;;;;;
;39 Bastian;27 Hateia;S. Andrew;;;;;;
;40 Ben;28 Pinkey;10 Basil;;;;;;
;41 Barnaby;29 Theresa;11 Godfrey;;;;;;
;42 Baldwin;30 Sebosah;12 Jervis;;;;;;
;;;13. Patt.;;;Recapitulation;;;
;;;14 Roger;;;Males;;;
;;;;;;Capable Men 52;;;
;;;;;;Tradesmen 20;;;
;;;;;;Children boys under 10. 6;;;
;;;;;;Half Growen boys 14;;;
;;;;;;Invalids men 11   -- 103 Taxable;;;
;;;;;;Born.... 3  -106 Males;;;
;;;;;;Females;;;
;;;;;;Capable women -58;;;
;;;;;;Children girls under 10  3;;;
;;;;;;half Grown Girls -10-;;;
;;;;;;Invalids Women 5;;;
;;;;;;Total 182;;;
;;;;;;Born 3.° 76 Females;;;
;;;;;;St Croix 11th December 1799.;;;
;;;;;;Peter Canvane;;;
