List;;;;;;;;ad No 28.
Of Negroes belonging to John G. Krause.;;;;;;;;Kongens Quarteer
;House Negroes;;;Born.;Died;;;1799
Tradesmen;Women;Boys;Girls;Female;;;;Rall hauptmans
1. Jantje;1 Hannah;1. Daniel;1 Charlotte;1 Mary.;None;;;Krause
2. Claus.;2 Moll;2 William;2 Sophia;;;;;
;3 Philida.;;3 Mary Anné;;;;;
Recapitulation;;;;;;;;
"Free from taxes;  taxable Slaves";;;;;;;;
Tradesmen 2;;;;;;;;
Malé House Negroes. 2.;;;;;;;;
Female D* 6;;;;;;;;
Total 10;;;;;;;;
S. Croix 11th Decbr. 1799;;;;;;;;
John Krause;;;;;;;;
