L     LIST;;;;;;;;;;;;;
 on North Hall Estate, North side Quarter Letter A No 15;;;;;;;;;;;;;
In this YEAR.;;;;;;;;;;;;;
HOUSE NEGROES.;;;;Total number of;;BORN.;;DIED.;;New Negroes;;November of No-;
;;;;NEGROES.;;;;;;BOUGHT;;groes free;
;;;;;;;;;;fince 1st of July.;;from Taxes.;
Mens.;Women.;Boys;Girls.;Males;Females;Boys.;Girls.;Males;Females;Males.;Females;Males.;Females.
;Stepehn the manager;;;;;1 will.;1 Elisabeth;;None;;;;
;belonging to himself;;;;;;;;;;;;
;1.Cyntia;;;;;;;;;;;;
;2 Fegania;;;;;;;;;;;;
;3 Recy;;;;;;;;;;;;
RECAPITULATION.;;;;;;;;;;;;;
Field NEGROES,;;;;;;;;;;;;;
TRADES DEN,;;;;;;;;;;;;;
HOUSE NEGROES,;;;;;;;;;;;;;
Free from Tax.;;;;;;;;;;;;;
BORN,;;;;;;;;;;;;;
DIED,;;;;;;;;;;;;;
BOUGHT, —;;;;;;;;;;;;;
Taxable NEGROES,;;;;;;;;;;;;;
Mænd..9;;;;;;;;;;;;;
Drenge......3;;;;;;;;;;;;;
Ditto... 3;;;;;;;;;;;;;
Qvinder 6;;;;;;;;;;;;;
Piger...... 3;;;;;;;;;;;;;
24;;;;;;;;;;;;;
Födte 1/1;;;;;;;;;;;;;
döde %;;;;;;;;;;;;;
Negere tilhörende forvalter Bernard;;;;;;;;;;;;;
Qvinder 3.;;;;;;;;;;;;;
