A List of the White Inhabitants & Negroes on Spring Garden Estate Letter A North Side;;;;;;;
Quarter No26,, 27,, 202 the proporty of Thomas Nugent Armstrong for 1799;;;;;;;
Tradesmen;31 Men Continued;3 Women Contued;Boys under 12 ys;New Negroes Bought January 1799 in all 52;;;
1 George;32 Bigo;4 Agatha;1 Joe;Men alive;Women alive;Men Died;Women Died
2 paul;33. Chance;5 Ruth;2 Paul;Cudgoe;1 Grace;1Tom;1 Penelope 
3 Jack;4 Pompey;6 Rachael;3 Thomas;2 Cublis;2 Tracý;2 Alexander;2 Dido
4 Cesar;5 Sidney;7 Elizabeth;4 Andrew;3Quaco;3 Vanity;3. Phelim;3 Peggy
5 Goodluck;6 Cate;8 Rebecca;5 William;4 Seaak;4 Mary;4 Jacob;4 Jinny
6 Jeverne;7 Christian;9 Marrgrett;6. William of Phelim;5 Domnick;5 Cotto;5 Bernstop;5 Moggy
7 Peter;8 Murphy;40 Mary Anne;Girls under 12 ys;6 Se;6 Lucretia;6 Dermott;
8 Nugent;9 Yellow;1 Queen;1 Kitty;lody;7 Wirny;;
9 Sean;40 Mile;2 Sucy;2) Susana;O Allick;8 Letty;;
10 John;1 Mecenas;3 Brancilv;3 Easter;Craddick;9 Joan;;
11 London;2 Hercules;4 Sunday;4 Sally;18 Mongo;10 Sheila;;
12 Lakala;3 Hector;5. Sally;5 Nancy;11 Dick;11 Constantia;;
13 Mayo;4 Ulisses;6. Blosom;6 Henriel;12 Roger;12 Maria;;
14 Felix;5 Clairrfait;7 Julatta;7 Sophia;13 Duncan;13 Matilda;;
15 Brandy;6 Dumoirien;8 Sara;8 Frankey;T4 Nelson;14 Charlotte;;
Men;7 Cicerro;9 Agnes;9 Judy;15 Brown;15 Abby;;
1 Cesar;8 Archy;50 Beck;House Negroes Men;VCDarby;16 Juno;;
2 Georgy;49 Valentine;51 Nelly;1 Pam;17 Christopher;17 Bouneen;;
3 Castlebar;Women;Half Grown Boys;2 Edward or Neddy;10 Theady;18 Margo;;
4 Fortune;1 Doll;1 Phillip;3 Punch;19 Westmeath;19 Madge;;
5 Hamlet;2 Betty;2 Ned;4 Johannes;20 Toby;20 Abby;;
6 Jackey;3 Biddy;3 Forerteen;Women House Negroes tunty;Mænd 88;21 Onagh;;
7 Liberty;4 Bets;4 Gallows;1 Dorinda;drenge 13;;;
8 Nero;5 Eve;5 Decke;2 Judy;ditto 6  107;;;
9 Owen;6 Clarinda;6 James;3 Franky;Qvinder 76;;;
10 Pompey;7  Hannagh;7 Henry;4 Harriot;Piger 22 98 ;;;
11 Scipio;8 Molly;8 Wardrn;None Died;205;;;
12 Cymon;9 Nanny;9 Beaw;One Born dead;föd 2/0;;;
13 Tom;10 Present;10 Denniss;Recapitulation;död 6/5;;;
14 Toney;11 Sue;11 Frederick;15 Tradesmen;;;;
15 B & Toney;12 Patty;12 Solomon;49 men;;;;
16 Washington;13 Daphne;13. Paddy;51 Women;;;;
17 Guam;14 Venus;Half Grown Girls;13. Half grown Boys;;;;
18 Mathew;15 Silvia;1 Bridgett;13 ditt Girls;;;;
19 Antony;16 Catherina;2 Peggy;6 Boys under 12 ys;;Recapitulaton new negroes;;
20 William;17 Dele;3 Phillis;9 Girls do;;20 Men alive;;
21 Thampen;18 Lucy;4 Betsey;4 House negroes men;;21 Women alive;;
22 Cuffy;19 Ellen;5 Slatiga;4 ditto Women;;6 Men Died;;
23 Prince;20 Daniela;6 Fora;164 Totall Taxable;;5 Women Died;;
24 Luke;1 Clara;7 Julia;;;52 Total New Wegroes;;
25 Dublin;2 Fanny;8 Christiana;;;2 Born;;
26 Bantly;31 Eliza;9 Diana;;;Born of the new negroes;;
27 Kitt;4 Penny;10 Emily;;;1 Argo;;
28 Tellemachew;5 Sarah;11 Lettitia;;;2 Bully;;
29 Frank;6 Lucinda;12 Caroline;;;White Inhabitants;;
30 Mark;7 Cathrine;13 Beauty;;;1. Tho Negent Armstrong;;
31 Gilbert;8 Polly;;;;2 Anne Armstrong;;
;9 Jenny;;;;3 Richard Magee Manager;;
;30 Cloey;;;;4 Johnston Overseer;;
;1 Anne;;;;There is one differece betwen;;
;2 Coom ba;;;;this & Last years List Owing to;;
;33 Agusta;;;;the Manager Last year returning;;
;;;;;me negroes named Billy Sale or;;
;;;;;Shac both in the dead list & the list;;
;;;;;of alive men neroes the 21 name on;;
;;;;;the List. The Nug Armstrong;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
