A List of White people & negroes on Mount Washington Estate in North Side Quarter Letter A N.o 24 property of Corn: Durant;;;;;;;;;;;
;Capible;;Half Grown;;Manqueroons;;children.;;Births;New Negroes;bot in July Last
;Males;Female;Males;Females;Males;Females;Males;Female;male;Males;Females
Rich Walsh;Diogenes;Cynthea;Isaac;perecilla;Othitto;Henretta;Cumann;Cathrin;Friedricke;Seasor;Sylaa
;Romeo;Nanny;John;Mary an;Cudjo.;Leonar;James;Hester.;;pompey;
;Cupido;Sally;Barron;Clampa;Marcus;Fria;Daniel;Hariet;;Garick;
;Congo:;Quasheba;Syphan;Ritta;Gabriel;Fanny;Cato;Jenny;;Sipio;
;Dover;Molly;Peter.;4;4;Mary;4;Rebecka;;Frotheh;
;Epiphanes;Ann minthy;5;;;phillis.;;5;;Neptune;
;Francis;Becky;;;;Bess;;;;7;
;Cuffu;Peggy;;;;Lucy;;;;;
;Ekiel;Nancy;;;;Desdemone;;;;;
;York;Anna Maria;;;;9;;;;;
;Jacob;Lucy;;;;;;;;;
;Aaron;Mommia;;;;;;;;;
;Sander;Juhuy;;;;;;;;;
;Johannes;Eve;;;;;;;;;
;Adam;Mynda;;;;;;;;;
;Tom;Rachel;;;;;;;;;
;Prince;Chloe;;;;;;;;;
;George;Sophia;;;;;;;;;Mænd 23
;B George;18;;;;;;;;;derung.
;19;;;;;;;;;;ditto 4 32
;;;;;;;;;;;Qvinder - 27.
;;;;;;;;;;;Piger 9 36
;;;;;;;;;;;Böseln Löde: 68
;;;;;;;;;;;Able Slaves 37
;;;;;;;;;;;Half Grown 9
;;;;;;;;;;;Manqueroons 13
;;;;;;;;;;;children 9
;;;;;;;;;;;New Negroes 7
;;;;;;;;;;;Total 75 Slaves
;;;;;;;;;;;which re garding their
;;;;;;;;;;;Specified quality age Hest
;;;;;;;;;;;for to be Just
;;;;;;;;;;;Jas Attorney to Corn Durant
;;;;;;;;;;;John Maynard
