List of John Conners Negroes belonging to him & his children 1799;;;;;;
Men;Women;Boys;Girls;Deaths;Births;
1 Shemomnt;1 Belley;1 Jno William;1 Catharene;1 Gift April 1. 1798;none;
2 Isaac;2 Murceen;2 Jesper;1 girl;2 Tom. d°. 8 d°;;
3 Peter;3 Salley;3 little Tom;;3 Solomon Been away off the Island;;
4 Harry;4 Present;4 Dick;;4 Bella dead July 6 1799;;
5 Cuffee;5 Clementine;5 Joseph;;Kate Sould and is in R Bechards, List;;
6 Tobeey;6 Hannah;6 Eness;;4 dead;;
7 Martain;7 Forana;7 Tim;;;;
8 Thomas;8 Peah;8 Franck;;;;
9 Hackley;9 Joan;8 Boys;;;;
10 Malbrouh;10 Combah;;;;;
11Abram;11 Milchey;;;;;
11 Men;12 Belloe;;;;;
;13 Nancy;;;;;
;13 women;Mænd 11;;Total;;
;;Drenge 8.;;11 Men;;
;;19;;13 Women;;
;;Qvinder 13.;;8 Boys;;
;;Piger 1;;1 Girl;;
;;14;;33 Negreoes Given in;;
;;33;;14 of December 1799 is just;;
;;Döde 3/1;;John Conner;;
