Annual List of White persons Residing on the Estate Bonne Esparence, Situated in Northside Quarter letter B.;;;;;;;;;;;;;;;
No. 1. Belonging to Lucus & Peter debreton & also, all the slaves Residing on said Estate,;;;;;;;;;;;;;;;
Field Negroes;;Half Grown;;Children under;;Tradesmen;;House;Negroes;Died;Manqué;Manque;;;
Capable;;;;10 years age;;;;Negroes;Born;;roons;roons;;;
Men;Women;Boys;Girls;Boys-;Girls;Men;Boy;...;;;Men;Women;;;
Jemmy 1;adjervar 1;Johanes 1;Patonella 1;None;Christmia 1;Frederick;none;None;none;Dick 1;Atepalma 1;Antonetta 1;Totall 43;;
Frank 2;Harrieate 2;Jacob..2;Marta 2;.;Elizabeth 2;Milly 2;...;.;...;Sophia 2;Baston 2;Pacida 2;Males- 18;;
Foly 3;Susana 3;Robert 3;Markita 3;;2;2.;;;;Cotita 3;Blirkes. 3;Elizabeth 3;Females 25;;
Michael 4;Mincy 4;Telemacus 4;Penny4;;;;;;;3;Cupido. 4;Cleopata 4;;;
London 5;Jennet. 5;4;Polly 5;;;;;;;;Mathias 5;;;;
Appolo 6;Subbica_ 6;;Yanaky 6;;;;;;;;Jack 6;;;;
6.;Quasheba 7;;6;;;;;;;;;;;;
;Ronny-8;;;;;;;;;;;;;;
;Basheba 9;;;;;;;;;;;;;;
;Sybella 10;;;;;;;;;;;;;;
;Joann 11.;;;;;;;;;;;;;;
;Ducilla 12;;;;;;;;;;;;;;
;syloy.. 13;;;;;;;;;;;;;;
;13;;;;;;;;;;6.;4.;;;
born none;;;;;Mænd 14.;;;;;;Which I hereby, Testify to be just,;;;;
Dead 3;;;;;Drenge. — 4. 18.;;;;;;As Manager of said Estate;;;;
;;;;;Qvinder... 17.;;;;;;Faughney Ferrall;;;;
;;;;;Piger... 8  25 43;;;;;;December 11th 1799.;;;;
;;;;;Död ½;;;;;;;;;;
