A list of the;;;;;;;;;;
Whites inhabitants and Negroes on the Estate Belly Jeint Schuchd in North side Quarter;;;;;;;;;;
Letter B N 12 - Belonging to Antoney Baudhuy and the Heirs of William Wood P. Lon Esqr.;;;;;;;;;;
Darby Curle Manager;;;;;;;;;;
Field Negroes;;Boys & Girls Half Grown;;Trades Men;;Born this year;;Died this Year;Hired Negroes;
Able Men;Able Women;Boys;Girls;Coopers;Carpenters;;Male & Female;Man;Able men;Able Women
Aquella;Cathrina.;Jacob;Selpha. 1;Abraham;;None;;2 Pearo;1 David;Maria. 1.
Johanes;Lewisa;Alesa;;David 2;;;;;Laurance;
Fortuna;Christianna;;;;;;;;Samb;
Jonothin;Domingo;;;;;;;;Andris;
Basthan;Grace;;;;;;;;Corredon;
Flinck;Belhan;;;;;;;;Johannes 6;
Mingo;Dianna;;;;;;;;;
Elias;Cecilia;;;;;;;;;
Powlis;Magdelina;;;;;;;;;
Daniel;Lia.;;;;;;;;;
Cornelius;Sarah 11;;;;;;;;;
Lucas;;;;;;;;;;
Mathiaas 13;;Decembre 10th 1799.;;Mænd 21.;;;;New Negroes None;;
;;;;drenge — 2. 23.;;;;Manquerroone 0;;
;;;;Qvinder — 12.;;;;Able 1;;
;;;;Pieger 1.13;;;;;;
;;;;Död 2/0;;;;;;
;;;;36;;;;;;
;;;;Recapitulation, Field Negroes;;;;;;
;;;;Total No 39;;;;;;
;;;;Anthonÿ Beaudhuÿ;;;;;;
