List of White People and Negroes on the Estate Belvedere the property of Lieut Olsen Kings Quat Decr the 11 th 1799;;;;;;;;;;;
White people;Able Men;Able Women;Half grown Boys;Half Grown Girls;Boys under;Girls under;Infants;Infants;Born;Died;
John Rutlidge;;;;;12 years;12 years;Boys;Girls;Since last return;Since last return;
Manager;;;;;;;;;;;
Eliz Rutlidge;Craddack;Andilla;Craddack;Lucy;Abraham;Abigale;George;Margrett;Hanah;Paul;
Wilm Jachson;Killishander;Ann;George;Molley;Charles;Maria;Frank;Judiath;Dianna;Creole Luckey;
Overseer;Adam;Bella;Jack Little;;Christian;Christiane;Simon;Qeabeth;2;litte Paul;
;Bennard;Cornelia;Jacob;;Richard;;Christian Fredm;Juno.;;Mingo;
;Brutus;Cherry;Jackey;;;;Barmbus;Susanna;;Glasgow;
;Bob;Dolia;Jemmey;;;;;5;;Carrern;
;Cussey;Eva;Quashey;;;;;;;Industry;
;Cussey Old;Eliza;Sampson;;;;;;;7;
;Cussy Congo;Elezabeth;Thomas;;;;;;;;
;Coountry;Eve;William;;;;;;;;
;Cudjoe;Frankey;;;;;;;;;
;Casar old;Grasey;;;;;;;;;
;Christian;Grace;;;;;;;;;
;Castillio;Harrietta;;;;;;;;;
;Dick;Jeny old;;;;;;;;;
;Davey;Jenny;;;;;;;;;
;Forey;Sarah;;;;;;;;;
;Fortuna;Lukey;;;;;;;;;
;Goodluck;Lucys old;;;;;;;;;
;Gram old;Mary;;;;;;;;;
;George;Maria;;;;;;;;;
;Hannebell;Margretta;;;;;;;;;
;Harry;Nanny;;;;;;;;;
;Johannis;Marah;;;;;;;;;
;James;Nancy;;;;;;;;;
;Joe;Oty;;;;;;;;;
;John;Polley;;;;;;;;;
;Joseph;Polley Creole;;;;;;;;;
;Jorgen;Phillies;;;;;;;;;
;Jonas;Pricila;;;;;;;;;
;Jack;Presant.;;;;;;;;;
;Isaac;Quasheba;;;;;;;;;
;London;Rosalinda;;;;;;;;;
;Limamerick;Rosetta;;;;;;;;;
;Mushell;Ruthy;;;;;;;;;
;Mushell;Rose;;;;;;;;;
;Martin;Sarah;;;;;;;;;
;Ned;Sylvia;;;;;;;;;
;Niles;Sannche;;;;;;;;;
;Noah;Sucy;;;;;;;;;
;Ned Congo;Theadore;;;;;;;;;
;Nick;;;;;;;;;;
;Ole;;;;;;;;;;
;Oliver;;;;;;NB,, New Negroes Bought this year 1799;;;;
;Priam;;;;;;Men Women;;;;
;;;;;;;Badluck;;;;
;;;;;;;Sold as a Rascal Bess;;;;
;;;;;;;Charlotte;;;;
;;;;;;;Febea;;;;
;;;;;;;Fanney;;;;
;;;;;;;Recaptulaion,,;;;;
;;;;;;;Abe Men 59;;;;
;;;;;;;D° Women 42;;;;
;;;;;;;Half Grown Boys 10;;;;
