;Al List;;;;;;;;;;;;;;;;;;;;;;;
;Sugar Estate called Canaan, situated in North Side Quarter Let. B: N°: 13: belong „ to G: S: Gÿllich;;;;;;;;;;;;;;;;;;;;;;;
;;Total Number of;;Born.;;Dead.;;Bougt;;Amount;;;;;;;;;;;;;;
;irls;Negroes;;;;;;this year;;of Negroes free from taxes;;;;;;;;;;;;;;
;???;Males;Femals;Boÿs;Girls;Males;females;Males;females;males;Females;;;;;;;;;;;;;
;????;61;47;Johannes;Peggÿ;England;Ajuba;Cork;Betseÿ;2;2;;;;;;;;;;;;;
;;;;Andreas;Mad=;Lucas;Domingo;Kingsale;Jane;;;;;;;;;;;;;;;
;;;;Anthonÿ;lane;;;Frans=;Jennÿ;;;;;;;;;;;;;;;
;;;;;;;;wa;Fannÿ;;;;;;;;;;;;;;;
;"Mænd.....38
Drenge - 9
ditto... 11
58
Qvinder 30
 Piger 15
45
103
Föd 3/2
Död 2/2";;;;;;;;;;;"Petrina
A little Mulatto Girl
belonging to Miss C.M.
Kip aste in Philadelphia
Recapitulation
Field Negroes 78„
Trades Men 9„
House Negroes 9
in all 96:
Free from Taxes:
Bought 7:
Born..... 5:
Dead 4:
= 112:
Taxable Negroes 99:
St. Croix December 11th.
1799 : -
The above is Just
Geo; Morrogh";;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;1;61;47;3;2;2;2;3;4;2;2;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
