LIST;;;;;;;;;;;;;
OES on the River Estate No. 2. 3. 14. 15  + 2/3 of N°4 in Prentzens 2d Qr;;;;;;;;;;;;;
HOUSE NEGROES.;;;;Total number of;;Bought;;In this YEAR;;BOrn;;;
;;;;NEGROES;;since last;;;;;;;
;;;;;;July;;DIED.;;;;number of Ne¬;
;;;;;;;;;;;;groes free;
;;;;;;;;;;;;from Taxes.;
Men.;Women.;Boys.;Girls;Males;Females.;Boys;Girls;Males;Females;Males;Females.;Males;Females
;;;;;;;;7;2.;;;;
;1 Augustt;;Negroes  bought;;;25       None.;;1 Dick;1 Pamilia;Born;;;
;2 Zabina;;since last july;;;1 Alexander;;2 Prince;2 Hester;4  Vizt.;;;
;3 Cin????;;19 Sonday;;;2 Albert;;3 Troy;;1 Tony;;;
;4 anna mary;;20 Monday;;;3 Arnold;;4 West;;2 William;;;
;5 mary;;21 Tuesday;;;4 Antony;;5 Arthur;;3 Johannes;;;
;6 ?????;;22 Wednesday;;;5 ???????;;6 Essex;;4 Isaac;;;
;7 ?????;;23 Thursday;;;6 Bob;;7 Phill;;1 Barbara;;;
;8 ??????;;24 Friday;;;7 Cæsar;;;;;;;
;;;26 Saturday;;;8 Edward;;;;;;;
;;;25. Boys.;;;9 Gilbert;;;;;;;
;;;;;;11 Jacob;;;;;;;
;;;;;;11 Jonas;;;;;;;
;;;;;;12 mark;;;;;;;
;;;;;;13 Martin;;;;;;;
;;;;;;14 moses;;;;;;;
;;;;;;15 Neal;;;;;;;
;;;;;;16 Norman;;;;;;;
;;;;;;7 Patrick;;;;;;;
;;;;;;18 Richard;;RECAPITULATION.;;;;;
;;;;;;;;FIELD NEGROES.;;;;;
;;;;;;;;TRADES MEN,;;;;;
;;;;;;;;HOUSE NEGROES,;;;;;
;;;;;;;;Free from Tax.;;;;;
;;;;;;;;BORN,;;;;;
;;;;;;;;DIED,;;;;;
;;;;;;;;BOUGHT,;;;;;
;;;;;;;;Taxable NEGROES,;;;;;
Mænd 103;;;;;;;;;;;;;
Drenge.. 17;;;;;;;;;;;;;
Ditto..... 35;;;;;;;;;;;;;
155;;;;;;;;;;;;;
Qvinder.....76;;;;;;;;;;;;;
Piger... 43;;;;;;;;;;;;;
119;;;;;;;;;;;;;
274;;;;;;;;;;;;;
Bosaler 25 Drenge.;;;;;;;;;;;;;
Födte 4/1;;;;;;;;;;;;;
Döde 12;;;;;;;;;;;;;
