A List of Negroes belonging to William Rogers Senr this 12th day Decmr 1799.;;;;;;;;
Men.;Women;Boys;Girls;Born.;Dead;Bought;;
Jasper;Madlean;Scipio;Nancy;1 girl;;Bella;;The number of Slaves belonging to the Subsriber
Harry;Sue;Jupiter;Hetty;Anna;;1 Woman;;Amounts to 19 this 12th day Decmr. 1799
Tom;Martilla;John;Mary;;;;;William Roger Senr.
3 Men;Jenny;3 Boys;Elvira;;;;;
;Cochies;;Anna;;;;;
;Harriet;;2 Girls;;;;;
;Diana;;;;;;;
;Margaret;;;;;;;
;8 Women;;;;Mænd 3;;;
;;;;;Drenge 3 6;;;
;;;;;Qvinder 8;;;
;;;;;Piger 4  12;;;
;;;;;18;;;
;;;;;föd 0/2;;;
