List;;;;;;;
;;;;;;;
of White & Negroes on the Estate N=o 52 in Prince's Quarter known by the Name of Negro Bay the property of Alexander Cooper;;;;;;;
Resident White;Male Negroes.;;Female Negroes;;Born;Died;Bo.t since July 1st.
Alexander Cooper;Men;Boys;Women;Girls;Chance /boy/;Tom Jones;0
Proprietor;Adam;Jack;Bella;Madlane;Betney / girl/;1.;
Thomas Jones;August;Jacob;Cotto;Maria Mulatto;2.;;
Manager;Aberdeen;Thor;Christine;Anna Elizabeth;;;
;Bacchus;Martin;Diana;Phaty;;;
;Brige;Davy;Eve;Franky;;;
;Bob;Quashy;Flora;;;;
;Cæsar;Asop;Jantong;;;;
;Camberwell;Codjoe;Juna;;;;
;Cudjoe;Daniel;Katy;;;;
;Chamberlynn;Timoth;Louise;;;;
;Edinburgh;Ben;Louise Hebenitreit;;;;
;Gay;Andreas;Lydia;;;;
;Grog;Paris;Mathilda 1 big;;;;
;George;Quai;Molly;;;;
;Grenwich;Philip;Maria Bladwell;;;;
;Hammersmith;Thomas;Maria Gracy;;;;
;Harry;Simon;Maria Ferral;;;;
;Jack;Mingo;Mathilda 1 little;;;;
;Johnny;Peter;Muray;;;;
;Jim;Freday;Mathilda/house/;;;;
;Liverpool.;Bob;Nancy Addoo;;;;
;Ned Ferral;Francis;Peggy;;;;
;Polidore;Quamina;Portia;;;;
;Caford;Henrich;Phillis;;;;
;Peter;24.;Rosalinde;;;;
;Mulatto Peter;;Silvy;;;;
;Plato;;Susanna;;;;
;Little Plato;;Sybella;;;;
;Scipio;;28.;;;;
;Socrates;;;;;;
;Titus;;;;;;
;Toney.;;;;Mænd 32;;
;32.;;;;Drenge 24 50;;
;;;;;Qvinder 28;;
;;;;;Piger... 5 - 33.;;
;;;;;89;;
;;;;;Födte 1/1;;
;;;;;Döde 1/0;;
;;;;;Recapitulation;;
;;;;;Males 56;;
;;;;;Females 33 89;;
;;;;;Born 2;;
;;;;;Died 1;;
;;;;;Bot since July 1st _ 0;;
;;;;;St. Croix Dec. 12th 1799.;;
;;;;;Alex: Cooper;;
