32 Lewis;21 Amey;Negroe Women purchased also;Mænd 65
33 Nestor;22 Dianah;1 Juliet;Drenge..... 57.
34 Pitt;23 Jane;2 Clary;Ditto ..... 6.
35 Oliver;24 Clarissa;3 Murreal;128
36 Prince;25 Agnes;4 Juliet;Qvinder 80.
37 Samboy;26 Addy;5 Princesse;Piiger 34   114
38 Winter;Male Children;6 Dutchess;242 Total
39 Summer;1 Jonathan;7 Quasheba;föd 5/1
40 February;2 Edward;8 Christmass;död 4/0
41 March;3 Timmouth;9 Mary Harman;
42 April;4 Jacob;10 Dolly;
43 May;5 Joseph;Boys purchased also;
44 June;6 William;1 Tom Pipes;
45 July;Female Children;2 Ord;
46 August;1 Mariah;Recapitulation;
47 September;2 Betsey;Negre Men 56;
48 October;3 Ann Martha;Boys 55;
49 November;4 Mary ann;Children 6;
50 December;5 Catherina;117;
51 York;6 Christianna;Women 70;
52 Robert;7 Norah;Girls 26;
53 Duke;8 Mary Elizabeth;Children 8;
54 Prince;Childerin Born;104;
55 King;1 Christian;221;
Girls;2 Piero;born 6;
1 Christianna;3 Bastian;Bought 22;
2 Sarah;4 Andris;teaths.. 4;
3 Sophey;5 Jemmy;32;
4 Catherina;6 Rose;Total 253;
5 Leah;Deaths;Mrs Teale & fire children;
6 Sublica;1 Dick;2 Males;
7 Betsey;2 Harry;3 Females;
8 Lewisa;3 FalStaff;Peter Teale;
9 Margarett;4 Sam;Manager;
10 Peggy;Negroe Men purchased;John Eldward;
11 Rebcca;since my residence;Overseyar;
12 Frederica;1 David;;
13 Elenora;2 Hugh;;
14 Cateita;3 Anthony;;
15 Betrice;4 Bob;;
16 Eliza;5 Ned;;
17 Suckey;6 Charles;;
13 Fanny;7 Duncan;;
19 Hannah;8 Romeio;;
20 Sateira;9 Nelson;;
;10 Sam;;
