Annual List of white Inhabitants & Negroes on the Estate St George N° Princes Quartes belong to the Heirs of Jn Heyliges;;;;;;;;;;;;;;;;;;;;
White persons;Capable;;;Half Grown;;Children under 10;;Tradesmen;;House Negroes;;Born this year;;died this year;;Bought;;Totat N°;;
&;;;;;;;;;;;;;;;;;;;;
their;;;;;;;;;;;;;;;;;;;;
occupation;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;Men;Women;Women;Boys;Girls;Boys;Girls;Men.;Boys;Males;Females;Males;Females;Males;Females;Males;Females;Malen;Female;Recapitulation
Thos Lynch;Mingo;Peggy;Nancy;Nicholas;Lucy;Joe;Eva;James;;Starion;Silvia;David;Deborrah;Zango;Nancy;;B Mary;76;78;Able Men 40
Manager;John;Melut;E. Susanah;Augustine;Martha;Scipio;Susanah;Frank;;;Phillis;Sam;Anne;;Marey;;;;;D° women  48
A. Holet;Primus;Sapho;Orina;Johnnes;Christina;Peter;Margaret;Seneca;;;;Michael;Susanah;;;;;;;Grown Boys 5
Overseer;Demus;M Peggy.;Phebe;Mathias;Sophia;Jack;Cathinchy;Mars;;;;;;;;;;;;D°  Girls - 9
Jn. Duvent;Merry;Johntong;F. Martha;Sammy;Catherina;Tom;Pheobe;Lathe;;;;;;;;;;;;under 10 - Boys - 14
Propietor;Lancastier;Mitta;Sue;;Paiseilla;Bernard;Nelly;Erinus;;;;;;;;;;;;D° Girls 15
Mr Duvant;Will;Lucca;Nitta;;Mary;Paddy;Betsy;Quashy;;;;;;;;;;;;Tradesmen 13
;Bristol;M Mary;O Molly;;Jenny;Cudjoe;Sally;L. Lamonth;;;;;;;;;;;;House Negroes Males - 1
;Thomas;E. E. Jenny;Y Rose;;Agness;Apollo;Mary;Joseph;;;;;;;;;;;;D°   D° Females 2
;Cn. Champ;Cotto;;;;March;Silvia;B Peter;;;;;;;;;;;;Born Males 3
;L Champ.;Mose;;;;Hendrich;Juliana;M. Peter;;;;;;;;;;;;D° females 3
;London;Maria;;;;Adam;Luka;Cornelis;;;;;;;;;;;;Bought 1
;Lewis;Jn Clarisa;;;;Adolph;Amba;Jeome;;;;;;;;;;;;Total N° 154
;Juba;Charlot;;;;David;Emilia;;;;;;;;;;;;;Died 3
;Jupiter;Chloe;;;;;Rose;;;;;;;;;;;;;Negroes the property of Mrs.
;Glasgow;Catrinchy;;;;;;;;;;;;;;;;;;Devont Residing on this
;Hector;Hegar;;;;;;;;;;;;;;;;;;Est - viz - Georgiana
;William;Haneh;;;;;;;;;;;;;;;;;;Phillis
;Apollo;D Nanny;;;;;;;;;;;;;;;;;;Mary 3
;Phillip;D. Diana;;;;;;;;;;;;;;;;;;I do hereby certify the above to
;Cato;Ajuva;;;;;;;;;;;;;;;;;;be a treu List-
;James;Pransa;;;;;;;;;;;;;;;;;;Thos Lynah
;Lemon;Catty;;;;;;;;;;;;;;;;;;
;Shayer;Clarissa;;;;;;;;;;;;;;;;;;
;Lindo;Juliet;;;;;;;;;;;;;;;;;;
;Tvess;Pink;;;;;;;;;;;;;;;;;;
;L Will;Suky;;;;;;;;;;;;;;;;;;
;Sylvester;Atrato;;;;;;;;;;;;;;;;;;
;Stephen;Leah;;;;;;;;;;;;;;;;;;
;Andrew;Mina;;;;;;;;;;;;;;;;;;
;Peter;Elizabeth;;;;;;;;;;;;;;;;;;
;Gregory;Ô Diana;;;;;;;;;;;;;;;;;;
;Manuel;Philitia;;;;;;;;;;;;;;;;;;
;L Jupiter;Mhoma;;;;;;;;;;;;;;;;;;
;Oxford;Sally;;;;;;;;;;;;;;;;;;
;cachampne;Fanny;;;;;;;;;;;;;;;;;;
;Simon;Flora;;;;;;;;;;;;;;;;;;
;Titus;Cumba;;;;;;;;;;;;;;;;;;
;Ambose;;;;;;;;;;;;;;;;;;;
;Billy;;Mænd  54.;;;;;;;;;;;;;;;;;
;;;drenge 5;;;;;;;;;;;;;;;;;
;;;Ditto  14. 73;;;;;;;;;;;;;;;;;
;;;Qvinder 50.;;;;;;;;;;;;;;;;;
;;;Piiger... 25;;;;;;;;;;;;;;;;;
;;;75;;;;;;;;;;;;;;;;;
;;;148;;;;;;;;;;;;;;;;;
;;;Föd 3/3;;;;;;;;;;;;;;;;;
;;;Död 1/2;;;;;;;;;;;;;;;;;
;;;Thomas Lynch 1 Qvinde;;;;;;;;;;;;;;;;;
;40;48;;5.;9;14;15;13;;1;2;3;3;1;2;;1;76;78;
