List;;;;;;;;;;;;;;;
Of White Persons and Negroes on The Estate Hope situated in West End Quarter Part of N°. 12 the property of Robert Milles;;;;;;;;;;;;;;;
Whites;Tradmen;Able Negroes;;Half Grown;;Children;;Manquearoons;;Births;;Deaths.;;Total number of Slaves;
;;Males;Females;Males;Females;Males;Females;Males;Females;Males;Females;Males;Females;Males;Females
Robt Miller;Gilbert;Sam;Mary Ann;Yanky;Peninah;Arthus;Margaret;;Sarah;;;Ceasar;;17 Tradsmen;16 Able Negroes
High Miller;William;Sharpes;Dianah;l ✓;Hannah;Thomas;Maryah;;Clarisah;;;Samuel;;12 Able Negroes;2 half Grown
Wm Darick;James;York;Molly;;2✓;Scotland;Nancy;;;;;;;1 half Grown;9 Children
;Quashy;Jack;Ballah;;;Abnah;Maryann;;;;;;;4 Children;2 Maquaroon
;Johannas;Jaccob;Pyah;;;4✓;Duitchess;;;;;;;;
;David;Scotland;Manny;;;;Lucy;;;;;;;;
;Jacco;Scipio;Seballah;;;;Madlan;;;;;;;;
;Sam;Edenbourg;Reachall;;;;Catterin;;;;;;;;
;Beith;Hansom;Kitty;;;;Moninia;;;;;;;;
;Mandall;Monday;Jinny;;;;;;;;;;;;
;Batto;St Croix;Catherina;;;;;;;;;;;;
;John Batit;Cudjo;Venus;;;;;;;;;;;;
;Thomas;12 ✓;Vyolat;;;;;;;;;;;;
;Jacky;;July Ann;;;;;;;;;;;;
;Christian;;Fatema;;;;;;;;;;34 Taxable Slaves;;
;Nad;;Marya;;;;;;;;;;29 Females;;
;Chairles;;16 ✓;;;;;;;;;;63;;
;17✓;;;;;;Födte 0/0;;Mænd 29.;;;;;;
;;;;;;;Död 2/0.;;Drenge. 1;;;;;;
;;;;;;;;;Ditto 4 34;;;;;;
;;;;;;;;;Qvinde. 18;;;;;;
;;;;;;;;;Piger... 11       21;;;;;;
;;;;;;;;;63;;;;;;
;;;;;;;9✓;;2✓;;;2;;;
;;;;;;;;;;St Croix Decembr 17th 1799;;;;;
;;;;;;;;;;William Peebler Marraiger;;;;;
